Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,8,4096,1,8,decoding,10.154719713326386,369.8697509546839,225.1323900281785,114.04555976419655
Llama2-13B,8,4096,1,8,end2end,11.009929180944445,398.61852403256734,223.90963747555148,121.504872329813
Llama2-13B,8,4096,1,8,prefill,0.8552094676180556,599.8599355777515,215.3503696071625,173.720060289128
Llama2-13B,8,4096,2,4,decoding,11.414083697583331,654.9033501817348,170.12745669768475,146.11472519895105
Llama2-13B,8,4096,2,4,end2end,12.422753848666668,700.1192497846865,168.78343015785012,153.74750304890517
Llama2-13B,8,4096,2,4,prefill,1.0086701510833334,1016.6305470053484,159.37524437900757,207.1769479985839
Llama2-13B,8,4096,4,2,decoding,14.100893116687502,1049.497636176039,147.9776135515113,191.5498815803575
Llama2-13B,8,4096,4,2,end2end,15.4404962705,1109.5645267711632,146.3788762124317,198.56198902334685
Llama2-13B,8,4096,4,2,prefill,1.3396031538125002,1530.0327609370347,135.18771483887454,247.6467411242725
Llama2-13B,8,4096,8,1,decoding,19.905361875125,1469.421309737308,144.40880945678978,244.6932542389016
Llama2-13B,8,4096,8,1,end2end,21.968381023000003,1534.007166227094,142.29456720158288,249.63983850381896
Llama2-13B,8,4096,8,1,prefill,2.0630191478750004,1986.1081616556007,127.49487141513436,284.2659283582413
Llama2-13B,8,4096,40,1,decoding,92.973592269625,1575.8683922359037,135.47492328116925,235.06335169526525
Llama2-13B,8,4096,40,1,end2end,102.460440811,1648.9232668447416,133.67210109866562,240.0705173749255
Llama2-13B,8,4096,40,1,prefill,9.486848541375,2160.3073891066074,121.05234582114012,275.1206771325473
Llama2-13B,20,4096,1,20,decoding,9.900233783375,380.36911932753856,334.8606337848724,196.20357948898248
Llama2-13B,20,4096,1,20,end2end,10.719088118142857,411.1484975925188,333.6135555825862,212.774267974922
Llama2-13B,20,4096,1,20,prefill,0.818854334767857,626.6041454473798,324.8840081665826,328.7690873764984
Llama2-13B,20,4096,2,10,decoding,10.037835603375,749.231090895303,194.7606416567565,221.1147064558632
Llama2-13B,20,4096,2,10,end2end,10.876347341,808.5406248505091,193.5338348291863,238.1088803108036
Llama2-13B,20,4096,2,10,prefill,0.8385117376249999,1223.707362536952,184.9461870361949,357.06809729538656
Llama2-13B,20,4096,4,5,decoding,11.187706799750002,1337.956521088587,166.73181906984686,316.8745078971945
Llama2-13B,20,4096,4,5,end2end,12.170649508285717,1431.541425722574,165.4181110268141,335.77777565868666
Llama2-13B,20,4096,4,5,prefill,0.9829427085357142,2086.635758160488,156.22215472558497,468.1006499891324
Llama2-13B,20,4096,5,4,decoding,11.960144895499996,1556.3574135147749,170.12745669768475,365.2868129973777
Llama2-13B,20,4096,5,4,end2end,13.046823789142856,1656.6458320972897,168.78343015785012,384.3687576222629
Llama2-13B,20,4096,5,4,prefill,1.086678893642857,2358.664762174893,159.37524437900757,517.9423699964598
Llama2-13B,20,4096,10,2,decoding,14.564149952624998,2535.0177665221386,147.9776135515113,478.8747039508938
Llama2-13B,20,4096,10,2,end2end,15.96993265442857,2673.733285656638,146.3788762124317,496.4049725583672
Llama2-13B,20,4096,10,2,prefill,1.4057827018035711,3644.74191959814,135.18771483887454,619.1168528106813
Llama2-13B,20,4096,20,1,decoding,20.214199765750003,3615.184008624976,144.40880945678978,611.7331355972536
Llama2-13B,20,4096,20,1,end2end,22.321338612285714,3770.94084861544,142.29456720158288,624.0995962595473
Llama2-13B,20,4096,20,1,prefill,2.1071388465357144,4861.238728548696,127.49487141513436,710.6648208956032
Llama2-13B,20,4096,40,1,decoding,36.50736974475,4014.9174172478633,137.91756226698436,617.7694399179755
Llama2-13B,20,4096,40,1,end2end,40.21644816542857,4203.711274315399,136.02657850217713,631.2073592047515
Llama2-13B,20,4096,40,1,prefill,3.7090784206785714,5525.268273788153,122.78969214852684,725.272794212183
Llama2-13B,32,4096,1,32,decoding,10.564567446031251,354.17869899235905,464.9803419591666,281.0627990074751
Llama2-13B,32,4096,1,32,end2end,11.478326589750004,380.06718687623777,463.708938107221,306.3792522390239
Llama2-13B,32,4096,1,32,prefill,0.91375914371875,561.2866020633885,454.8091111436028,483.5944248598652
Llama2-13B,32,4096,2,16,decoding,10.675075091968749,700.3659068626799,271.220580457737,317.5569909612135
Llama2-13B,32,4096,2,16,end2end,11.60462104225,750.7506873516579,269.9816108053372,343.9694913984245
Llama2-13B,32,4096,2,16,prefill,0.92954595028125,1103.4441507745048,261.30882323853854,528.8569944589022
Llama2-13B,32,4096,4,8,decoding,11.45900709396875,1297.2908492018346,225.1323900281785,456.1822390567863
Llama2-13B,32,4096,4,8,end2end,12.50054333025,1381.2454961405792,223.90963747555148,486.0194893192521
Llama2-13B,32,4096,4,8,prefill,1.04153623628125,1968.9280247117915,215.3503696071625,694.8802411565119
Llama2-13B,32,4096,8,4,decoding,12.630310911125,2348.3629834851417,170.12745669768475,584.4589007958042
Llama2-13B,32,4096,8,4,end2end,13.812727807,2488.273354128379,168.78343015785012,614.9900121956207
Llama2-13B,32,4096,8,4,prefill,1.182416895875,3467.645948631041,159.37524437900757,828.7077919943356
Llama2-13B,32,4096,16,2,decoding,15.132692433093752,3894.756510985711,147.9776135515113,766.19952632143
Llama2-13B,32,4096,16,2,end2end,16.61969548925,4096.991897502813,146.3788762124317,794.2479560933874
Llama2-13B,32,4096,16,2,prefill,1.48700305615625,5512.639603122531,135.18771483887454,990.58696449709
Llama2-13B,32,4096,32,1,decoding,20.5932280860625,5673.731755701811,144.40880945678978,978.7730169556062
Llama2-13B,32,4096,32,1,end2end,22.754513835500003,5912.390074397288,142.29456720158288,998.559354015276
Llama2-13B,32,4096,32,1,prefill,2.1612857494375004,7582.998305265627,127.49487141513436,1137.0637134329654
Llama2-13B,32,4096,40,1,decoding,36.5568082213125,4009.240223247969,137.91756226698436,617.7694399179755
Llama2-13B,32,4096,40,1,end2end,40.2729492815,4197.429366282814,136.02657850217713,631.2073592047515
