Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,8,1,8,32,32,128,0.0293785,0.0047594247860378,0.00098525,0.0351231747860378,0.016064,1.5709909914415148,636.540887533936,214.63783460082416,182.6487351301328,1.0
Llama2-13B,8,1,8,32,32,256,0.0304985,0.0047594247860378,0.00153525,0.0367931747860378,0.016064,1.637790991441515,610.5785202297651,215.11300902915508,176.3308105555643,1.0
Llama2-13B,8,1,8,32,32,384,0.0315755,0.0047594247860378,0.00208525,0.0384201747860378,0.016064,1.7028709914415143,587.2435463554875,215.58772424092004,170.69224892790302,1.0
Llama2-13B,8,1,8,32,32,512,0.0326955,0.0047594247860378,0.00263525,0.0400901747860378,0.016064,1.769670991441515,565.0767881918172,216.06291055775097,165.20844654291184,1.0
Llama2-13B,8,1,8,32,32,640,0.0338585,0.0047594247860378,0.00318525,0.0418031747860378,0.016064,1.8381909914415149,544.0131110727493,216.5385798681477,159.88494755242235,1.0
Llama2-13B,8,1,8,32,32,768,0.0349785,0.0047594247860378,0.00373525,0.0434731747860378,0.016064,1.9049909914415148,524.9368655771415,217.0137542964785,155.10510334668334,1.0
Llama2-13B,8,1,8,32,32,896,0.0360555,0.0047594247860378,0.00428525,0.0451001747860378,0.016064,1.9700709914415144,507.5959213369733,217.48846950824355,150.80117423710914,1.0
Llama2-13B,8,1,8,32,32,1024,0.0371755,0.0047594247860378,0.00483525,0.0467701747860378,0.016064,2.036870991441515,490.9491097874046,217.9636558250744,146.5774877439944,1.0
Llama2-13B,8,1,8,32,32,1152,0.0397285,0.0047594247860378,0.00538525,0.0498731747860378,0.016064,2.160990991441514,462.7506565091871,219.7509745147464,138.28295462624212,1.0
Llama2-13B,8,1,8,32,32,1280,0.0408485,0.0047594247860378,0.00593525,0.0515431747860378,0.016064,2.227790991441515,448.8751430639998,220.2261489430772,134.7822741000754,1.0
Llama2-13B,8,1,8,32,32,1408,0.0419255,0.0047594247860378,0.00648525,0.0531701747860378,0.016064,2.2928709914415144,436.1344374509732,220.7008641548421,131.6030006528498,1.0
Llama2-13B,8,1,8,32,32,1536,0.0430455,0.0047594247860378,0.00703525,0.0548401747860378,0.016064,2.359670991441515,423.78789400174105,221.17605047167305,128.4548039119496,1.0
Llama2-13B,8,1,8,32,32,1664,0.0442085,0.0047594247860378,0.00758525,0.0565531747860378,0.016064,2.428190991441515,411.82921916959344,221.65171978206976,125.3445150718017,1.0
Llama2-13B,8,1,8,32,32,1792,0.0453285,0.0047594247860378,0.00813525,0.0582231747860378,0.016064,2.4949909914415147,400.80305036381577,222.1268942104007,122.50951068886056,1.0
Llama2-13B,8,1,8,32,32,1920,0.0464055,0.0047594247860378,0.0086852499999999,0.0598501747860378,0.016064,2.5600709914415147,390.6141678660731,222.6016094221656,119.9219970812542,1.0
Llama2-13B,8,1,8,32,32,2048,0.0475255,0.0047594247860378,0.00923525,0.0615201747860378,0.016064,2.626870991441515,380.6810472452028,223.07679573899648,117.34584367286853,1.0
Llama2-13B,8,1,8,32,32,2176,0.0500465,0.0047594247860378,0.0097852499999999,0.0645911747860378,0.016064,2.7497109914415145,363.6745836607933,224.78302824712708,112.28708713253032,1.0
Llama2-13B,8,1,8,32,32,2304,0.0511665,0.0047594247860378,0.01033525,0.0662611747860378,0.016064,2.8165109914415147,355.04920912387115,225.258202675458,110.06136958530384,1.0
Llama2-13B,8,1,8,32,32,2432,0.0522435,0.0047594247860378,0.0108852499999999,0.0678881747860378,0.016064,2.8815909914415148,347.0305129944033,225.73291788722287,108.0196186545805,1.0
Llama2-13B,8,1,8,32,32,2560,0.0533635,0.0047594247860378,0.01143525,0.0695581747860378,0.016064,2.948390991441515,339.1680421296784,226.2081042040538,105.97510667593669,1.0
Llama2-13B,8,1,8,32,32,2688,0.0545265,0.0047594247860378,0.01198525,0.0712711747860378,0.016064,3.0169109914415144,331.4648668246552,226.6837735144506,103.9328461915081,1.0
Llama2-13B,8,1,8,32,32,2816,0.0556465,0.0047594247860378,0.01253525,0.0729411747860378,0.016064,3.083710991441515,324.2846047425926,227.15894794278148,102.05446341763702,1.0
Llama2-13B,8,1,8,32,32,2944,0.0567235,0.0047594247860378,0.01308525,0.0745681747860378,0.016064,3.148790991441514,317.58220939974194,227.63366315454644,100.32599502611194,1.0
Llama2-13B,8,1,8,32,32,3072,0.0578435,0.0047594247860378,0.01363525,0.0762381747860378,0.016064,3.215590991441515,310.9848244573265,228.10884947137728,98.58879972312246,1.0
Llama2-13B,8,1,8,32,32,3200,0.0603645,0.0047594247860378,0.01418525,0.0793091747860378,0.016064,3.338430991441515,299.54191132409954,229.815081979508,95.17807733829817,1.0
Llama2-13B,8,1,8,32,32,3328,0.0614845,0.0047594247860378,0.0147352499999999,0.0809791747860378,0.016064,3.405230991441514,293.66583427477747,230.29025640783885,93.63752507048072,1.0
Llama2-13B,8,1,8,32,32,3456,0.0625615,0.0047594247860378,0.01528525,0.0826061747860378,0.016064,3.470310991441515,288.1586124316239,230.76497161960376,92.21524884298,1.0
Llama2-13B,8,1,8,32,32,3584,0.0636815,0.0047594247860378,0.01583525,0.0842761747860378,0.016064,3.537110991441516,282.716601887706,231.24015793643463,90.7799588327986,1.0
