Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,8,1,8,32,32,2304,0.0985885,0.006729689432779948,0.016519000000000002,0.12183718943277995,0.0192475,9.916222654622397,100.84485139448287,900.9562411044006,114.23191359849282,1.0
Llama2-70B,8,2,4,32,32,2304,0.1252345,0.006411797993977866,0.016519000000000002,0.14816529799397787,0.0339355,12.03715933951823,166.15215796254859,801.7364937620924,160.04705048570736,1.0
Llama2-70B,8,4,2,32,32,2304,0.1754705,0.005782637854682075,0.016519000000000002,0.1977721378546821,0.0633115,16.035082528374566,249.45303480177782,754.8578653072796,215.09537651835478,1.0
Llama2-70B,8,8,1,32,32,2304,0.2780105,0.004573988113403321,0.016519000000000002,0.2991034881134033,0.1213595,24.199638549072265,330.583449987384,744.8712586490195,267.92918204492986,1.0
Llama2-70B,8,80,1,32,3,2304,2.65872,0.0004647777472601,0.16519,2.8243747777472605,1.2585155,227.35849771978084,351.86720884565284,676.1633391805402,254.31912317977825,1.0
Llama2-70B,8,80,1,32,3,6400,3.556024,0.0004647777472601,0.4467899999999999,4.00327877774726,1.2585155,321.6708177197808,248.701453762868,765.5821301426155,215.2916094330677,1.0
Llama2-70B,8,80,1,32,3,14592,5.344016,0.0004647777472601,1.00999,6.35447077774726,1.2585155,509.7661777197808,156.93469574196843,943.0527343759596,176.46892044783544,1.0
Llama2-70B,8,80,1,32,3,30976,8.926616,0.0004647777472601,2.1363900000000005,11.06347077774726,1.2585155,886.4861777197807,90.24393387133904,1299.509099442255,145.57690164360775,1.0
Llama2-70B,20,1,20,32,32,2304,0.0859785,0.0148387594386509,0.016519,0.1173362594386509,0.0119035,9.548804255092076,104.7251544052473,1304.0470525057915,189.5891200279417,1.0
Llama2-70B,20,2,10,32,32,2304,0.0967065,0.0141149887520926,0.016519,0.1273404887520926,0.0183235,10.35556260016741,193.13291582706165,1043.6461202191028,269.79730427093915,1.0
Llama2-70B,20,4,5,32,32,2304,0.1181625,0.0134763675580705,0.016519,0.1481578675580706,0.0311635,12.033792904645647,332.39727754129785,913.4456637477588,386.5209621274764,1.0
Llama2-70B,20,5,4,32,32,2304,0.1252345,0.0130931948416573,0.016519,0.1548466948416573,0.0339355,12.57167108733259,397.71960030342166,801.7364937620924,400.1176262142683,1.0
Llama2-70B,20,10,2,32,32,2304,0.1754705,0.0114753544834681,0.016519,0.2034648544834682,0.0633115,16.490499858677456,606.4097562656905,754.8578653072796,537.7384412958871,1.0
Llama2-70B,20,20,1,32,32,2304,0.2780105,0.0083673980058942,0.016519,0.3028968980058942,0.1213595,24.503111340471538,816.2228756217667,744.8712586490195,669.8229551123245,1.0
Llama2-70B,20,80,1,32,8,2304,1.0002075,0.0009122856358119,0.066076,1.067195785635812,0.4731,85.99876285086496,930.2459401507004,675.8769183714439,675.7367030055702,1.0
Llama2-70B,20,80,1,32,8,6400,1.3431035,0.0009122856358119,0.1787159999999999,1.5227317856358118,0.4731,122.44164285086497,653.3724812680008,761.4469224139849,566.9309345214162,1.0
Llama2-70B,20,80,1,32,8,14592,2.0288955,0.0009122856358119,0.4039959999999999,2.433803785635812,0.4731,195.32740285086493,409.5687488410475,932.5869304990669,459.65252054581777,1.0
Llama2-70B,20,80,1,32,8,30976,3.4004795,0.0009122856358119,0.8545560000000001,4.255947785635811,0.4731,341.0989228508649,234.53606751780205,1274.8669466692315,374.90799361361593,1.0
Llama2-70B,32,1,32,32,32,2304,0.0840965,0.0245713464355468,0.016519,0.1251868464355468,0.0100555,10.17500321484375,98.28006722800394,1839.8587221772373,273.4743304087028,1.0
Llama2-70B,32,2,16,32,32,2304,0.0878605,0.0239752999877929,0.016519,0.1283547999877929,0.0119035,10.430287499023438,191.74926867425805,1157.7755165576243,329.43572952510635,1.0
Llama2-70B,32,4,8,32,32,2304,0.0985885,0.0227236024475097,0.016519,0.1378311024475097,0.0192475,11.19573569580078,357.27888802343665,900.9562411044006,456.9276543939713,1.0
Llama2-70B,32,8,4,32,32,2304,0.1252345,0.0212930909729003,0.016519,0.1630465909729004,0.0339355,13.227662777832032,604.7931622060274,801.7364937620924,640.1882019428294,1.0
Llama2-70B,32,16,2,32,32,2304,0.1754705,0.0184618703460693,0.016519,0.2104513703460693,0.0633115,17.049421127685548,938.448283972442,754.8578653072796,860.3815060734191,1.0
Llama2-70B,32,32,1,32,32,2304,0.2780105,0.0130229465103149,0.016519,0.3075524465103149,0.1213595,24.875555220825195,1286.4034477192452,744.8712586490195,1071.7167281797194,1.0
Llama2-70B,32,80,1,32,10,2304,0.81021,0.0014614998626708,0.049557,0.8612284998626708,0.382388,69.43066798901367,1152.228580209811,698.3825198323203,861.9771662066878,0.84375
Llama2-70B,32,80,1,32,10,6400,1.080798,0.0014614998626708,0.134037,1.2162964998626709,0.382388,97.83610798901368,817.6940154751805,790.776652849287,731.6599890537242,0.84375
Llama2-70B,32,80,1,32,10,14592,1.62859,0.0014614998626708,0.3029969999999999,1.933048499862671,0.382388,155.17626798901367,515.5427504266562,979.361086441559,601.3552130625627,0.84375
Llama2-70B,32,80,1,32,10,30976,2.717558,0.0014614998626708,0.6409170000000001,3.35993649986267,0.382388,269.3273079890136,297.03634806784373,1352.5804553681637,497.71907549651706,0.84375
