Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,8,4096,1,8,decoding,10.640925153326387,351.4079073858736,225.5103779702836,110.78669303011286
Llama2-13B,8,4096,1,8,end2end,11.565592540944444,376.81236613215145,224.2876254176566,117.7040461235684
Llama2-13B,8,4096,1,8,prefill,0.9246673876180554,554.6435773560959,215.72835754926768,166.12551777775718
Llama2-13B,8,4096,2,4,decoding,11.900289137583336,625.9273676591016,170.5054446397899,142.6946121530262
Llama2-13B,8,4096,2,4,end2end,12.978417208666666,666.5574677456734,169.16141809995526,149.85894509876903
Llama2-13B,8,4096,2,4,prefill,1.0781280710833334,950.9681683516774,159.75323232111265,200.00927571896875
Llama2-13B,8,4096,4,2,decoding,14.587098556687502,1012.3135238237468,148.35560149361643,188.356212293596
Llama2-13B,8,4096,4,2,end2end,15.9961596305,1067.5869322592498,146.75686415453686,195.03889682926624
Llama2-13B,8,4096,4,2,prefill,1.4090610738125005,1454.5007913077711,135.56570278097968,241.81768857895824
Llama2-13B,8,4096,8,1,decoding,20.391567315125,1433.0038499461657,144.78679739889492,242.2695903763541
Llama2-13B,8,4096,8,1,end2end,22.524044383,1494.050462623503,142.672555143688,247.04919072499104
Llama2-13B,8,4096,8,1,prefill,2.132477067875,1921.3767513648704,127.87285935723946,280.50639316544977
Llama2-13B,8,4096,40,1,decoding,95.955019469625,1524.816216974123,135.86583080492431,231.18446064563545
Llama2-13B,8,4096,40,1,end2end,105.86775985100002,1592.635330300719,134.0630082581029,235.93112113128947
Llama2-13B,8,4096,40,1,prefill,9.912740381375,2067.369123586887,121.4432504303532,269.1577445308679
Llama2-13B,20,4096,1,20,decoding,10.386439223374996,360.8243009399209,335.2386217269776,189.4987555693871
Llama2-13B,20,4096,1,20,end2end,11.274751478142855,387.8992820896751,333.99154352469134,204.63742186837817
Llama2-13B,20,4096,1,20,prefill,0.8883122547678571,577.4241501379544,325.2619961086877,310.6080859613156
Llama2-13B,20,4096,2,10,decoding,10.524041043375,711.3365592779137,195.13862959886163,213.9923693770856
Llama2-13B,20,4096,2,10,end2end,11.432010701,763.6392066516668,193.91182277129144,229.5586988027713
Llama2-13B,20,4096,2,10,prefill,0.907969657625,1129.757738267938,185.32417497830008,338.523004782572
Llama2-13B,20,4096,4,5,decoding,11.67391223975,1277.499620682462,167.10980701195197,308.56974815589257
Llama2-13B,20,4096,4,5,end2end,12.726312868285714,1361.381065266674,165.79609896891924,326.17273983098926
Llama2-13B,20,4096,4,5,prefill,1.0524006285357144,1948.5511773561573,156.60014266769008,449.3936815566664
Llama2-13B,20,4096,5,4,decoding,12.4463503355,1490.9990898450812,170.5054446397899,356.7365303825656
Llama2-13B,20,4096,5,4,end2end,13.602487149142856,1581.7054271140205,169.16141809995526,374.6473627469227
Llama2-13B,20,4096,5,4,prefill,1.156136813642857,2216.6497879965964,159.75323232111265,500.02318929742194
Llama2-13B,20,4096,10,2,decoding,15.050355392625,2448.307368462127,148.35560149361643,470.89053073398975
Llama2-13B,20,4096,10,2,end2end,16.525596014428572,2576.382547643593,146.75686415453686,487.5972420731656
Llama2-13B,20,4096,10,2,prefill,1.4752406218035714,3472.908801913853,135.56570278097968,604.5442214473957
Llama2-13B,20,4096,20,1,decoding,20.700405205750005,3527.028532265161,144.78679739889492,605.673975940885
Llama2-13B,20,4096,20,1,end2end,22.87700197228572,3674.4020101734586,142.672555143688,617.6229768124774
Llama2-13B,20,4096,20,1,prefill,2.176596766535715,4706.01635553154,127.87285935723946,701.2659829136242
Llama2-13B,20,4096,40,1,decoding,37.61622350474999,3891.409717357261,138.3010398222009,608.7067381985167
Llama2-13B,20,4096,40,1,end2end,41.48370960542857,4067.318628598233,136.4100560573937,621.5148430014897
Llama2-13B,20,4096,40,1,prefill,3.8674861006785712,5298.681007285035,123.17316970374338,711.171576622301
Llama2-13B,32,4096,1,32,decoding,11.050772886031249,337.27408379493045,465.3583299012717,271.0345163117487
Llama2-13B,32,4096,1,32,end2end,12.03398994975,360.3040284024936,464.08692604932617,294.0828882470332
Llama2-13B,32,4096,1,32,prefill,0.98321706371875,521.5136406554352,455.1870990857079,455.4214917940248
Llama2-13B,32,4096,2,16,decoding,11.16128053196875,667.3265022481897,271.5985683998422,306.7962307715592
Llama2-13B,32,4096,2,16,end2end,12.16028440225,712.222802016307,270.3595987474423,330.91983844698643
