Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,8,1,8,32,32,128,0.0308485,0.0047594247860378,0.00290525,0.0385131747860378,0.016064,1.706590991441515,585.9634821787761,215.0158052391843,174.251426519267,1.0
Llama2-13B,8,1,8,32,32,256,0.0319685,0.0047594247860378,0.00345525,0.0401831747860378,0.016064,1.773390991441515,563.8914400862848,215.4909796675152,168.51821298114962,1.0
Llama2-13B,8,1,8,32,32,384,0.033051,0.0047594247860378,0.00400525,0.0418156747860378,0.016064,1.8386909914415148,543.8651761795005,215.9657583263452,163.35796067164782,1.0
Llama2-13B,8,1,8,32,32,512,0.034166,0.0047594247860378,0.00455525,0.0434806747860378,0.016064,1.9052909914415148,524.8542109798225,216.44088696402605,158.3744709389643,1.0
Llama2-13B,8,1,8,32,32,640,0.0353285,0.0047594247860378,0.00510525,0.0451931747860378,0.016064,1.9737909914415148,506.639256302245,216.91655050650783,153.49968899508028,1.0
Llama2-13B,8,1,8,32,32,768,0.0364485,0.0047594247860378,0.00565525,0.0468631747860378,0.016064,2.0405909914415146,490.0541089292861,217.39172493483863,149.10882816497164,1.0
Llama2-13B,8,1,8,32,32,896,0.037531,0.0047594247860378,0.00620525,0.0484956747860378,0.016064,2.1058909914415147,474.8583872878836,217.8665035936688,145.12436625301004,1.0
Llama2-13B,8,1,8,32,32,1024,0.038646,0.0047594247860378,0.00675525,0.0501606747860378,0.016064,2.172490991441515,460.30110317579226,218.3416322313496,141.2446516012973,1.0
Llama2-13B,8,1,8,32,32,1152,0.0411985,0.0047594247860378,0.00730525,0.0532631747860378,0.016064,2.296590991441515,435.4279903241823,220.1289451531064,133.57825233510104,1.0
Llama2-13B,8,1,8,32,32,1280,0.0423185,0.0047594247860378,0.00785525,0.0549331747860378,0.016064,2.3633909914415145,423.1208478077786,220.6041195814373,130.32368797419406,1.0
Llama2-13B,8,1,8,32,32,1408,0.043401,0.0047594247860378,0.00840525,0.0565656747860378,0.016064,2.4286909914415147,411.7444349750169,221.0788982402673,127.34666150564928,1.0
Llama2-13B,8,1,8,32,32,1536,0.044516,0.0047594247860378,0.00895525,0.0582306747860378,0.016064,2.495290991441515,400.7548632323262,221.55402687794816,124.42381777223252,1.0
Llama2-13B,8,1,8,32,32,1664,0.0456785,0.0047594247860378,0.00950525,0.0599431747860378,0.016064,2.5637909914415147,390.0473959609871,222.0296904204299,121.5176124546723,1.0
Llama2-13B,8,1,8,32,32,1792,0.0467985,0.0047594247860378,0.01005525,0.0616131747860378,0.016064,2.630590991441515,380.14271441415474,222.5048648487608,118.86324607025912,1.0
Llama2-13B,8,1,8,32,32,1920,0.047881,0.0047594247860378,0.0106052499999999,0.0632456747860378,0.016064,2.6958909914415146,370.9348794794154,222.97964350759085,116.4238651592442,1.0
Llama2-13B,8,1,8,32,32,2048,0.048996,0.0047594247860378,0.01115525,0.0649106747860378,0.016064,2.7624909914415148,361.9921306886083,223.4547721452716,114.01684430630648,1.0
Llama2-13B,8,1,8,32,32,2176,0.0515165,0.0047594247860378,0.0117052499999999,0.0679811747860378,0.016064,2.8853109914415147,346.58309033800043,225.1609988854872,109.26644807269868,1.0
Llama2-13B,8,1,8,32,32,2304,0.0526365,0.0047594247860378,0.01225525,0.0696511747860378,0.016064,2.952110991441515,338.74065131667027,225.6361733138181,107.16716219439836,1.0
Llama2-13B,8,1,8,32,32,2432,0.053719,0.0047594247860378,0.0128052499999999,0.0712836747860378,0.016064,3.017410991441515,331.4099414486018,226.11095197264817,105.2285746070516,1.0
Llama2-13B,8,1,8,32,32,2560,0.054834,0.0047594247860378,0.01335525,0.0729486747860378,0.016064,3.0840109914415144,324.2530596600061,226.5860806103289,103.30546768899266,1.0
Llama2-13B,8,1,8,32,32,2688,0.0559965,0.0047594247860378,0.01390525,0.0746611747860378,0.016064,3.152510991441514,317.2074586622586,227.06174415281072,101.37318589233732,1.0
Llama2-13B,8,1,8,32,32,2816,0.0571165,0.0047594247860378,0.01445525,0.0763311747860378,0.016064,3.2193109914415152,310.6254731706516,227.5369185811416,99.59333930700478,1.0
Llama2-13B,8,1,8,32,32,2944,0.058199,0.0047594247860378,0.01500525,0.0779636747860378,0.016064,3.284610991441515,304.45005591396705,228.0116972399716,97.94485181874758,1.0
Llama2-13B,8,1,8,32,32,3072,0.059314,0.0047594247860378,0.01555525,0.0796286747860378,0.016064,3.3512109914415147,298.39959422246125,228.4868258776524,96.30391892203042,1.0
