Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,8,1,8,32,32,2304,0.099861,0.006729689432779948,0.018247000000000003,0.12483768943277995,0.0192475,10.156262654622397,98.46141577924556,901.635418646126,112.86130454408209,1.0
Llama2-70B,8,2,4,32,32,2304,0.126507,0.006411797993977866,0.018247000000000003,0.1511657979939779,0.0339355,12.277199339518232,162.90360241707063,802.4156713038176,158.57139749259284,1.0
Llama2-70B,8,4,2,32,32,2304,0.176743,0.005782637854682075,0.018247000000000003,0.2007726378546821,0.0633115,16.275122528374567,245.77387930728463,755.5370428490049,213.73888721165898,1.0
Llama2-70B,8,8,1,32,32,2304,0.279283,0.004573988113403321,0.018247000000000003,0.30210398811340333,0.1213595,24.439678549072266,327.33654757106785,745.550436190745,266.9515997002126,1.0
Llama2-70B,8,80,1,32,3,2304,2.6686555,0.0004647777472601,0.18247,2.85159027774726,1.2585155,229.5357377197808,348.5296049962585,676.8424498959965,253.62676070253224,1.0
Llama2-70B,8,80,1,32,3,6400,3.565944,0.0004647777472601,0.46407,4.030478777747261,1.2585155,323.84681771978086,247.03037245597588,766.2612057216487,214.88312932610523,1.0
Llama2-70B,8,80,1,32,3,14592,5.3539515,0.0004647777472601,1.02727,6.38168627774726,1.2585155,511.9434177197808,156.2672694500569,943.7318450914164,176.26828429271663,1.0
Llama2-70B,8,80,1,32,3,30976,8.936536,0.0004647777472601,2.1536700000000004,11.09067077774726,1.2585155,888.6621777197809,90.02296036191399,1300.1881750212888,145.49129271356242,1.0
Llama2-70B,20,1,20,32,32,2304,0.087251,0.0148387594386509,0.018247,0.1203367594386509,0.0119035,9.788844255092076,102.15710598110785,1304.7262300475163,186.92138629464367,1.0
Llama2-70B,20,2,10,32,32,2304,0.097979,0.0141149887520926,0.018247,0.1303409887520926,0.0183235,10.59560260016741,188.7575511720683,1044.3252977608277,266.4666147237744,1.0
Llama2-70B,20,4,5,32,32,2304,0.119435,0.0134763675580705,0.018247,0.1511583675580706,0.0311635,12.273832904645648,325.8965663844095,914.1248412894842,382.6871692927048,1.0
Llama2-70B,20,5,4,32,32,2304,0.126507,0.0130931948416573,0.018247,0.1578471948416573,0.0339355,12.81171108733259,390.2679326685476,802.4156713038176,396.428493731482,1.0
Llama2-70B,20,10,2,32,32,2304,0.176743,0.0114753544834681,0.018247,0.2064653544834682,0.0633115,16.730539858677457,597.7093437790893,755.5370428490049,534.3472180291475,1.0
Llama2-70B,20,20,1,32,32,2304,0.279283,0.0083673980058942,0.018247,0.3058973980058942,0.1213595,24.74315134047154,808.3044768548407,745.550436190745,667.3789992505317,1.0
Llama2-70B,20,80,1,32,8,2304,1.007961,0.0009122856358119,0.072988,1.081861285635812,0.4731,87.17200285086497,917.7258452678328,676.5714587548002,671.2278141265388,1.0
Llama2-70B,20,80,1,32,8,6400,1.350857,0.0009122856358119,0.185628,1.5373972856358118,0.4731,123.61488285086496,647.1712641310021,762.1414627973412,564.1910748490335,1.0
Llama2-70B,20,80,1,32,8,14592,2.036649,0.0009122856358119,0.4109079999999999,2.448469285635812,0.4731,196.5006428508649,407.12335002749256,933.2814708824232,458.2436496826029,1.0
Llama2-70B,20,80,1,32,8,30976,3.408233,0.0009122856358119,0.8614680000000001,4.270613285635812,0.4731,342.2721628508649,233.7321251417623,1275.5614870525878,374.2588863650425,1.0
Llama2-70B,32,1,32,32,32,2304,0.085369,0.0245713464355468,0.018247,0.1281873464355468,0.0100555,10.41504321484375,96.01496406416996,1840.5378997189623,269.49740241173066,1.0
Llama2-70B,32,2,16,32,32,2304,0.089133,0.0239752999877929,0.018247,0.1313552999877929,0.0119035,10.670327499023438,187.4356715089619,1158.4546940993496,324.923062754353,1.0
Llama2-70B,32,4,8,32,32,2304,0.099861,0.0227236024475097,0.018247,0.1408316024475097,0.0192475,11.435775695800784,349.7795083081946,901.635418646126,451.4452181763284,1.0
Llama2-70B,32,8,4,32,32,2304,0.126507,0.0212930909729003,0.018247,0.1660470909729004,0.0339355,13.467702777832033,594.0137031512216,802.4156713038176,634.2855899703713,1.0
Llama2-70B,32,16,2,32,32,2304,0.176743,0.0184618703460693,0.018247,0.2134518703460693,0.0633115,17.28946112768555,925.419241342303,755.5370428490049,854.9555488466359,1.0
Llama2-70B,32,32,1,32,32,2304,0.279283,0.0130229465103149,0.018247,0.3105529465103149,0.1213595,25.115595220825195,1274.1087646398455,745.550436190745,1067.8063988008505,1.0
Llama2-70B,32,80,1,32,10,2304,0.816025,0.0014614998626708,0.054741,0.8722274998626709,0.382388,70.31058798901368,1137.8087182616127,699.1123662109441,856.7291029207978,0.84375
Llama2-70B,32,80,1,32,10,6400,1.086632,0.0014614998626708,0.1392209999999999,1.227314499862671,0.382388,98.7175479890137,810.3929000434981,791.5066445906932,728.4035851978344,0.84375
Llama2-70B,32,80,1,32,10,14592,1.634405,0.0014614998626708,0.3081809999999999,1.9440474998626711,0.382388,156.0561879890137,512.6358719311532,980.0909328201822,599.6622213100071,0.84375
Llama2-70B,32,80,1,32,10,30976,2.723373,0.0014614998626708,0.646101,3.3709354998626706,0.382388,270.20722798901363,296.0690600151256,1353.3103017467874,496.9243294057727,0.84375
