Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,8,4096,1,8,decoding,1.9805183693263888,1809.627244820246,8.968714204472423,67.88309267690299
Llama2-13B,8,4096,1,8,end2end,2.263449564944444,1809.6272448202465,8.9524971046996,67.76034744701482
Llama2-13B,8,4096,1,8,prefill,0.2829311956180555,1809.6272448202465,8.838977406289821,66.9011308377976
Llama2-13B,8,4096,2,4,decoding,1.9553583215833337,3665.824274190205,4.484357102236212,67.88309267690299
Llama2-13B,8,4096,2,4,end2end,2.2346952246666665,3665.824274190205,4.4762485523498,67.76034744701482
Llama2-13B,8,4096,2,4,prefill,0.2793369030833333,3665.824274190205,4.419488703144911,66.9011308377976
Llama2-13B,8,4096,4,2,decoding,1.9026646366874995,7534.696195835479,2.242178551118106,67.88309267690299
Llama2-13B,8,4096,4,2,end2end,2.1744738705,7534.696195835479,2.2381242761748994,67.76034744701482
Llama2-13B,8,4096,4,2,prefill,0.2718092338125,7534.696195835479,2.209744351572455,66.9011308377976
Llama2-13B,8,4096,8,1,decoding,1.8043980351249995,15890.063856123485,1.1210892755590531,67.88309267690299
Llama2-13B,8,4096,8,1,end2end,2.062169183,15890.063856123486,1.11906213808745,67.76034744701482
Llama2-13B,8,4096,8,1,prefill,0.257771147875,15890.063856123486,1.1048721757862277,66.9011308377976
Llama2-13B,8,4096,40,1,decoding,3.978648781625,36032.33355557649,0.6021037375073731,43.94436649325792
Llama2-13B,8,4096,40,1,end2end,4.5470271790000005,36032.333555576486,0.6016983100130525,43.91477648527918
Llama2-13B,8,4096,40,1,prefill,0.5683783973750001,36032.333555576486,0.598860317552808,43.70764642942803
Llama2-13B,20,4096,1,20,decoding,2.6466831913750006,1354.147716538014,22.42178551118105,169.70773169225757
Llama2-13B,20,4096,1,20,end2end,3.024780790142857,1354.147716538014,22.381242761749,169.40086861753713
Llama2-13B,20,4096,1,20,prefill,0.3780975987678571,1354.147716538014,22.097443515724542,167.25282709449408
Llama2-13B,20,4096,2,10,decoding,2.607620691375,2748.866053912277,11.210892755590525,169.7077316922576
Llama2-13B,20,4096,2,10,end2end,2.9801379329999995,2748.866053912277,11.190621380874497,169.40086861753716
Llama2-13B,20,4096,2,10,prefill,0.3725172416249999,2748.866053912277,11.048721757862271,167.2528270944941
Llama2-13B,20,4096,4,5,decoding,2.52339217575,5681.24136143803,5.605446377795262,169.70773169225757
Llama2-13B,20,4096,4,5,end2end,2.8838767722857144,5681.241361438029,5.595310690437248,169.40086861753713
Llama2-13B,20,4096,4,5,prefill,0.3604845965357143,5681.241361438029,5.5243608789311365,167.25282709449408
Llama2-13B,20,4096,5,4,decoding,2.5014195195,7163.932263382181,4.484357102236212,169.70773169225757
Llama2-13B,20,4096,5,4,end2end,2.8587651651428567,7163.93226338218,4.4762485523498,169.40086861753713
Llama2-13B,20,4096,5,4,prefill,0.3573456456428571,7163.93226338218,4.419488703144911,167.25282709449408
Llama2-13B,20,4096,10,2,decoding,2.365921472625,15148.43176947685,2.242178551118106,169.70773169225757
Llama2-13B,20,4096,10,2,end2end,2.703910254428571,15148.43176947685,2.2381242761748994,169.40086861753713
Llama2-13B,20,4096,10,2,prefill,0.3379887818035714,15148.43176947685,2.209744351572455,167.25282709449408
Llama2-13B,20,4096,20,1,decoding,2.11323592575,33919.54448936426,1.1210892755590531,169.70773169225757
Llama2-13B,20,4096,20,1,end2end,2.4151267722857144,33919.54448936426,1.11906213808745,169.40086861753713
Llama2-13B,20,4096,20,1,prefill,0.3018908465357143,33919.54448936426,1.1048721757862277,167.25282709449408
Llama2-13B,20,4096,40,1,decoding,2.04113742475,70235.34930165655,0.7930454632684446,135.29735788935335
Llama2-13B,20,4096,40,1,end2end,2.332728485428572,70235.34930165656,0.7920318945326431,135.12443820398246
Llama2-13B,20,4096,40,1,prefill,0.2915910606785715,70235.34930165656,0.784936913382032,133.91400040638607
Llama2-13B,32,4096,1,32,decoding,3.48561141403125,1028.2270667271423,35.87485681788969,271.532370707612
Llama2-13B,32,4096,1,32,end2end,3.98355590175,1028.2270667271423,35.8099884187984,271.0413897880593
Llama2-13B,32,4096,1,32,prefill,0.49794448771875,1028.2270667271423,35.355909625159285,267.6045233511904
Llama2-13B,32,4096,2,16,decoding,3.42152449996875,2094.9725773015703,17.937428408944847,271.532370707612
Llama2-13B,32,4096,2,16,end2end,3.91031371425,2094.9725773015707,17.9049942093992,271.0413897880593
Llama2-13B,32,4096,2,16,prefill,0.48878921428125,2094.9725773015707,17.677954812579642,267.6045233511904
Llama2-13B,32,4096,4,8,decoding,3.28480574996875,4364.33722150431,8.968714204472423,271.532370707612
Llama2-13B,32,4096,4,8,end2end,3.75406371425,4364.337221504311,8.9524971046996,271.0413897880593
Llama2-13B,32,4096,4,8,prefill,0.46925796428125,4364.337221504311,8.838977406289821,267.6045233511904
Llama2-13B,32,4096,8,4,decoding,3.1715855351250006,9040.273289955574,4.484357102236212,271.532370707612
Llama2-13B,32,4096,8,4,end2end,3.624669183,9040.273289955576,4.4762485523498,271.0413897880593
Llama2-13B,32,4096,8,4,prefill,0.453083647875,9040.273289955576,4.419488703144911,267.6045233511904
Llama2-13B,32,4096,16,2,decoding,2.93446395309375,19541.558838895704,2.242178551118106,271.532370707612
Llama2-13B,32,4096,16,2,end2end,3.35367308925,19541.558838895704,2.2381242761748994,271.0413897880593
Llama2-13B,32,4096,16,2,prefill,0.41920913615625,19541.558838895704,2.209744351572455,267.6045233511904
Llama2-13B,32,4096,32,1,decoding,2.4922642460625,46017.59230835745,1.1210892755590531,271.532370707612
