Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,8,1,8,32,32,2304,0.002961,0.006729689432779948,0.001728,0.011418689432779948,0.002961,1.0664561546223958,937.6850568733169,16.47509893055023,69.55040075375811,1.0
Llama2-70B,8,2,4,32,32,2304,0.002961,0.006411797993977866,0.001728,0.011100797993977866,0.002961,1.0410248395182293,1921.1837451693948,8.237549465275116,69.55040075375811,1.0
Llama2-70B,8,4,2,32,32,2304,0.002961,0.005782637854682075,0.001728,0.010471637854682076,0.002961,0.990692028374566,4037.5816958604405,4.118774732637558,69.55040075375811,1.0
Llama2-70B,8,8,1,32,32,2304,0.002961,0.004573988113403321,0.001728,0.009262988113403321,0.002961,0.8940000490722657,8948.545370105821,2.059387366318779,69.55040075375811,1.0
Llama2-70B,8,80,1,32,3,2304,0.0239575,0.0004647777472601,0.01728,0.0417022777472602,0.0239575,3.510139719780816,22791.115564196243,0.9813177115071448,40.96077268108712,1.0
Llama2-70B,8,80,1,32,3,6400,0.0239575,0.0004647777472601,0.01728,0.0417022777472602,0.0239575,3.510139719780816,22791.115564196243,0.9916966553617532,41.39399584104155,1.0
Llama2-70B,8,80,1,32,3,14592,0.0239575,0.0004647777472601,0.01728,0.0417022777472602,0.0239575,3.510139719780816,22791.115564196243,1.0124545430709695,42.260442160950426,1.0
Llama2-70B,8,80,1,32,3,30976,0.0239575,0.0004647777472601,0.01728,0.0417022777472602,0.0239575,3.510139719780816,22791.115564196243,1.0539703184894034,43.99333480076817,1.0
Llama2-70B,20,1,20,32,32,2304,0.002961,0.0148387594386509,0.001728,0.0195277594386509,0.002961,1.7151817550920758,583.0285898454634,41.187747326375565,173.87600188439538,1.0
Llama2-70B,20,2,10,32,32,2304,0.002961,0.0141149887520926,0.001728,0.0188039887520926,0.002961,1.6572801001674105,1206.7966059557282,20.593873663187782,173.87600188439538,1.0
Llama2-70B,20,4,5,32,32,2304,0.002961,0.0134763675580705,0.001728,0.0181653675580705,0.002961,1.6061904046456472,2490.3647714683416,10.296936831593891,173.87600188439538,1.0
Llama2-70B,20,5,4,32,32,2304,0.002961,0.0130931948416573,0.001728,0.0177821948416573,0.002961,1.5755365873325893,3173.5219862238087,8.237549465275116,173.87600188439538,1.0
Llama2-70B,20,10,2,32,32,2304,0.002961,0.0114753544834681,0.001728,0.0161643544834681,0.002961,1.4461093586774552,6915.106343786848,4.118774732637558,173.87600188439538,1.0
Llama2-70B,20,20,1,32,32,2304,0.002961,0.0083673980058942,0.001728,0.0130563980058942,0.002961,1.19747284047154,16701.84017879221,2.059387366318779,173.87600188439538,1.0
Llama2-70B,20,80,1,32,8,2304,0.0098935,0.0009122856358119,0.006912,0.0177177856358119,0.0098935,1.5773163508649553,50719.0583272216,1.1597941582782847,117.2278928870758,1.0
Llama2-70B,20,80,1,32,8,6400,0.0098935,0.0009122856358119,0.006912,0.0177177856358119,0.0098935,1.5773163508649553,50719.0583272216,1.1857415179148056,119.8505602582307,1.0
Llama2-70B,20,80,1,32,8,14592,0.0098935,0.0009122856358119,0.006912,0.0177177856358119,0.0098935,1.5773163508649553,50719.0583272216,1.2376362371878475,125.0958950005405,1.0
Llama2-70B,20,80,1,32,8,30976,0.0098935,0.0009122856358119,0.006912,0.0177177856358119,0.0098935,1.5773163508649553,50719.0583272216,1.3414256757339311,135.58656448516007,1.0
Llama2-70B,32,1,32,32,32,2304,0.002961,0.0245713464355468,0.001728,0.0292603464355468,0.002961,2.49378871484375,400.99628089890354,65.90039572220093,278.20160301503245,1.0
Llama2-70B,32,2,16,32,32,2304,0.002961,0.0239752999877929,0.001728,0.0286642999877929,0.002961,2.4461049990234374,817.6263900357766,32.95019786110046,278.20160301503245,1.0
Llama2-70B,32,4,8,32,32,2304,0.002961,0.0227236024475097,0.001728,0.0274126024475097,0.002961,2.345969195800781,1705.0522262440136,16.47509893055023,278.20160301503245,1.0
Llama2-70B,32,8,4,32,32,2304,0.002961,0.0212930909729003,0.001728,0.0259820909729003,0.002961,2.231528277832031,3584.987059976735,8.237549465275116,278.20160301503245,1.0
Llama2-70B,32,16,2,32,32,2304,0.002961,0.0184618703460693,0.001728,0.0231508703460693,0.002961,2.0050306276855467,7979.927976695882,4.118774732637558,278.20160301503245,1.0
Llama2-70B,32,32,1,32,32,2304,0.002961,0.0130229465103149,0.001728,0.0177119465103149,0.002961,1.5699167208251952,20383.246815270457,2.059387366318779,278.20160301503245,1.0
Llama2-70B,32,80,1,32,10,2304,0.0078775,0.0014614998626708,0.0051839999999999,0.0145229998626708,0.0078775,1.3197174890136718,60619.03450244511,1.2875094342811395,163.4413753451145,0.84375
Llama2-70B,32,80,1,32,10,6400,0.0078775,0.0014614998626708,0.0051839999999999,0.0145229998626708,0.0078775,1.3197174890136718,60619.03450244511,1.3225383697904427,167.8880824868858,0.84375
Llama2-70B,32,80,1,32,10,14592,0.0078775,0.0014614998626708,0.0051839999999999,0.0145229998626708,0.0078775,1.3197174890136718,60619.03450244511,1.392596240809049,176.78149677042833,0.84375
Llama2-70B,32,80,1,32,10,30976,0.0078775,0.0014614998626708,0.0051839999999999,0.0145229998626708,0.0078775,1.3197174890136718,60619.03450244511,1.5327119828462623,194.56832533751347,0.84375
