Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,8,4096,1,8,decoding,10.151279073326393,370.0076483415044,225.132113168258,114.1034760749574
Llama2-13B,8,4096,1,8,end2end,11.005997020944443,398.78247398884497,223.909360615631,121.57237737783812
Llama2-13B,8,4096,1,8,prefill,0.8547179476180554,600.2062535202291,215.3500927472421,173.85468649800313
Llama2-13B,8,4096,2,4,decoding,11.410643057583332,655.1183762131697,170.12717983776426,146.1771545151639
Llama2-13B,8,4096,2,4,end2end,12.418821688666666,700.3695277640417,168.78315329792963,153.818269363739
Llama2-13B,8,4096,2,4,prefill,1.0081786310833336,1017.1275886201458,159.37496751908702,207.3060733037649
Llama2-13B,8,4096,4,2,decoding,14.0974524766875,1049.7708286746283,147.9773366915908,191.6107235376864
Llama2-13B,8,4096,4,2,end2end,15.4365641105,1109.8738822148707,146.37859935251117,198.6287849683665
Llama2-13B,8,4096,4,2,prefill,1.3391116338125002,1530.5952569965668,135.18743797895402,247.75521498312705
Llama2-13B,8,4096,8,1,decoding,19.901921235125,1469.6857501322531,144.40853259686926,244.743358530472
Llama2-13B,8,4096,8,1,end2end,21.964448863000005,1534.2977550017308,142.29429034166233,249.6931140183292
Llama2-13B,8,4096,8,1,prefill,2.062527627875,1986.5817890880733,127.49459455521384,284.3414024333288
Llama2-13B,8,4096,40,1,decoding,92.970151629625,1575.9293259228205,135.47486887638516,235.0732021489092
Llama2-13B,8,4096,40,1,end2end,102.456508651,1648.990595223804,133.6720466938815,240.08099782855987
Llama2-13B,8,4096,40,1,prefill,9.486357021375,2160.419480330687,121.05229141635604,275.1355675861149
Llama2-13B,20,4096,1,20,decoding,9.896793143375,380.5153651858674,334.8603569249518,196.32072333264048
Llama2-13B,20,4096,1,20,end2end,10.715155958142857,411.3237082532843,333.61327872266565,212.91679643296973
Llama2-13B,20,4096,1,20,prefill,0.8183628147678571,626.982109725202,324.8837313066621,329.08930813527445
Llama2-13B,20,4096,2,10,decoding,10.034394963375,749.5143636893737,194.760364796836,221.2420280330137
Llama2-13B,20,4096,2,10,end2end,10.872415181,808.8785730125715,193.5335579692658,238.2617148300697
Llama2-13B,20,4096,2,10,prefill,0.8380202176249999,1224.4280382749555,184.9459101762744,357.3995224094617
Llama2-13B,20,4096,4,5,decoding,11.184266159749995,1338.4056354331638,166.73154220992637,317.02547105020136
Llama2-13B,20,4096,4,5,end2end,12.166717348285712,1432.0652821716094,165.4178341668936,335.9519306865077
Llama2-13B,20,4096,4,5,prefill,0.9824511885357142,2087.682809340728,156.22187786566445,468.4371481406516
Llama2-13B,20,4096,5,4,decoding,11.9567042555,1556.8411478306057,170.12717983776426,365.44288628790974
Llama2-13B,20,4096,5,4,end2end,13.042891629142856,1657.2028418522395,168.78315329792963,384.5456734093475
Llama2-13B,20,4096,5,4,prefill,1.086187373642857,2359.73470000368,159.37496751908702,518.2651832594122
