Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,8,1,8,32,32,128,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.793364021397005,85.12142258884813,1.0
Llama2-13B,8,1,8,32,32,256,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.801472571283417,85.24056084753774,1.0
Llama2-13B,8,1,8,32,32,384,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.80958112116983,85.3596991062273,1.0
Llama2-13B,8,1,8,32,32,512,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.817689671056243,85.4788373649169,1.0
Llama2-13B,8,1,8,32,32,640,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.825798220942657,85.59797562360647,1.0
Llama2-13B,8,1,8,32,32,768,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.833906770829068,85.71711388229606,1.0
Llama2-13B,8,1,8,32,32,896,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.842015320715481,85.83625214098564,1.0
Llama2-13B,8,1,8,32,32,1024,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.850123870601894,85.95539039967521,1.0
Llama2-13B,8,1,8,32,32,1152,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.858232420488307,86.07452865836478,1.0
Llama2-13B,8,1,8,32,32,1280,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.866340970374719,86.19366691705437,1.0
Llama2-13B,8,1,8,32,32,1408,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.874449520261132,86.31280517574395,1.0
Llama2-13B,8,1,8,32,32,1536,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.882558070147546,86.43194343443353,1.0
Llama2-13B,8,1,8,32,32,1664,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.890666620033959,86.55108169312311,1.0
Llama2-13B,8,1,8,32,32,1792,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.898775169920371,86.6702199518127,1.0
Llama2-13B,8,1,8,32,32,1920,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.9068837198067845,86.78935821050226,1.0
Llama2-13B,8,1,8,32,32,2048,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.914992269693197,86.90849646919186,1.0
Llama2-13B,8,1,8,32,32,2176,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.92310081957961,87.02763472788142,1.0
Llama2-13B,8,1,8,32,32,2304,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.931209369466023,87.14677298657102,1.0
Llama2-13B,8,1,8,32,32,2432,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.939317919352435,87.26591124526058,1.0
Llama2-13B,8,1,8,32,32,2560,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.947426469238848,87.38504950395017,1.0
Llama2-13B,8,1,8,32,32,2688,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.955535019125261,87.50418776263976,1.0
Llama2-13B,8,1,8,32,32,2816,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.9636435690116745,87.6233260213293,1.0
Llama2-13B,8,1,8,32,32,2944,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.971752118898086,87.74246428001891,1.0
Llama2-13B,8,1,8,32,32,3072,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.979860668784499,87.86160253870848,1.0
Llama2-13B,8,1,8,32,32,3200,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.987969218670913,87.98074079739807,1.0
Llama2-13B,8,1,8,32,32,3328,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,5.996077768557325,88.09987905608764,1.0
Llama2-13B,8,1,8,32,32,3456,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,6.004186318443737,88.21901731477723,1.0
Llama2-13B,8,1,8,32,32,3584,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,6.01229486833015,88.3381555734668,1.0
Llama2-13B,8,1,8,32,32,3712,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,6.020403418216564,88.4572938321564,1.0
Llama2-13B,8,1,8,32,32,3840,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,6.028511968102976,88.57643209084596,1.0
Llama2-13B,8,1,8,32,32,3968,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,6.036620517989388,88.69557034953554,1.0
Llama2-13B,8,1,8,32,32,4096,0.0017015,0.0047594247860378,0,0.0064609247860378,0.0017015,0.4101384914415147,2438.200805014174,6.044729067875802,88.81470860822512,1.0
Llama2-13B,8,2,4,32,32,128,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.8966820106985023,85.12142258884813,1.0
Llama2-13B,8,2,4,32,32,256,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.9007362856417087,85.24056084753774,1.0
Llama2-13B,8,2,4,32,32,384,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.904790560584915,85.3596991062273,1.0
Llama2-13B,8,2,4,32,32,512,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.9088448355281216,85.4788373649169,1.0
Llama2-13B,8,2,4,32,32,640,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.9128991104713284,85.59797562360647,1.0
Llama2-13B,8,2,4,32,32,768,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.916953385414534,85.71711388229606,1.0
Llama2-13B,8,2,4,32,32,896,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.9210076603577404,85.83625214098564,1.0
Llama2-13B,8,2,4,32,32,1024,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.925061935300947,85.95539039967521,1.0
Llama2-13B,8,2,4,32,32,1152,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.9291162102441537,86.07452865836478,1.0
Llama2-13B,8,2,4,32,32,1280,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.93317048518736,86.19366691705437,1.0
Llama2-13B,8,2,4,32,32,1408,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.937224760130566,86.31280517574395,1.0
Llama2-13B,8,2,4,32,32,1536,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.941279035073773,86.43194343443353,1.0
Llama2-13B,8,2,4,32,32,1664,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.9453333100169794,86.55108169312311,1.0
Llama2-13B,8,2,4,32,32,1792,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.9493875849601854,86.6702199518127,1.0
Llama2-13B,8,2,4,32,32,1920,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.9534418599033923,86.78935821050226,1.0
Llama2-13B,8,2,4,32,32,2048,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.9574961348465987,86.90849646919186,1.0
Llama2-13B,8,2,4,32,32,2176,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.961550409789805,87.02763472788142,1.0
Llama2-13B,8,2,4,32,32,2304,0.0017015,0.0045839222208658,0,0.0062854222208658,0.0017015,0.4031183888346354,4961.321674711363,2.9656046847330115,87.14677298657102,1.0
