Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,8,1,8,32,32,2304,0.0016155,0.006729689432779948,0,0.008345189432779948,0.0016155,0.8192306546223959,1220.6574477622853,11.38733518136352,88.1099905707484,1.0
Llama2-70B,8,2,4,32,32,2304,0.0016155,0.006411797993977866,0,0.008027297993977866,0.0016155,0.7937993395182293,2519.5284254252906,5.69366759068176,88.1099905707484,1.0
Llama2-70B,8,4,2,32,32,2304,0.0016155,0.005782637854682075,0,0.007398137854682075,0.0016155,0.7434665283745661,5380.201861602516,2.84683379534088,88.1099905707484,1.0
Llama2-70B,8,8,1,32,32,2304,0.0016155,0.004573988113403321,0,0.0061894881134033205,0.0016155,0.6467745490722656,12369.070507606108,1.42341689767044,88.1099905707484,1.0
Llama2-70B,8,80,1,32,3,2304,0.013138,0.0004647777472601,0,0.0136027777472602,0.013138,1.251360219780816,63930.43244894945,0.3000199230027757,22.836042244084016,1.0
Llama2-70B,8,80,1,32,3,6400,0.013138,0.0004647777472601,0,0.0136027777472602,0.013138,1.251360219780816,63930.43244894945,0.3103988668573841,23.626036448270984,1.0
Llama2-70B,8,80,1,32,3,14592,0.013138,0.0004647777472601,0,0.0136027777472602,0.013138,1.251360219780816,63930.43244894945,0.3311567545666009,25.20602485664492,1.0
Llama2-70B,8,80,1,32,3,30976,0.013138,0.0004647777472601,0,0.0136027777472602,0.013138,1.251360219780816,63930.43244894945,0.3726725299850343,28.36600167339279,1.0
Llama2-70B,20,1,20,32,32,2304,0.0016155,0.0148387594386509,0,0.0164542594386509,0.0016155,1.4679562550920755,681.2192097218021,28.468337953408803,220.27497642687104,1.0
Llama2-70B,20,2,10,32,32,2304,0.0016155,0.0141149887520926,0,0.0157304887520926,0.0016155,1.4100546001674104,1418.3847914559817,14.234168976704405,220.27497642687104,1.0
Llama2-70B,20,4,5,32,32,2304,0.0016155,0.0134763675580705,0,0.0150918675580705,0.0016155,1.3589649046456471,2943.416703644019,7.117084488352201,220.27497642687104,1.0
Llama2-70B,20,5,4,32,32,2304,0.0016155,0.0130931948416573,0,0.0147086948416573,0.0016155,1.3283110873325892,3764.178472710493,5.69366759068176,220.27497642687104,1.0
Llama2-70B,20,10,2,32,32,2304,0.0016155,0.0114753544834681,0,0.0130908544834681,0.0016155,1.1988838586774553,8341.09153077719,2.84683379534088,220.27497642687104,1.0
Llama2-70B,20,20,1,32,32,2304,0.0016155,0.0083673980058942,0,0.0099828980058942,0.0016155,0.9502473404715402,21047.15177637374,1.42341689767044,220.27497642687104,1.0
Llama2-70B,20,80,1,32,8,2304,0.002045,0.0009122856358119,0,0.0029572856358119,0.002045,0.3886278508649553,205852.4622513461,0.4648541269960956,227.31253153843303,1.0
Llama2-70B,20,80,1,32,8,6400,0.002045,0.0009122856358119,0,0.0029572856358119,0.002045,0.3886278508649553,205852.4622513461,0.4908014866326166,240.0007269597147,1.0
Llama2-70B,20,80,1,32,8,14592,0.002045,0.0009122856358119,0,0.0029572856358119,0.002045,0.3886278508649553,205852.4622513461,0.5426962059056586,265.377117802278,1.0
Llama2-70B,20,80,1,32,8,30976,0.002045,0.0009122856358119,0,0.0029572856358119,0.002045,0.3886278508649553,205852.4622513461,0.6464856444517425,316.1298994874046,1.0
Llama2-70B,32,1,32,32,32,2304,0.0016155,0.0245713464355468,0,0.0261868464355468,0.0016155,2.24656321484375,445.124354121302,45.54934072545408,352.4399622829936,1.0
Llama2-70B,32,2,16,32,32,2304,0.0016155,0.0239752999877929,0,0.0255907999877929,0.0016155,2.198879499023437,909.554161966691,22.77467036272704,352.4399622829936,1.0
Llama2-70B,32,4,8,32,32,2304,0.0016155,0.0227236024475097,0,0.0243391024475097,0.0016155,2.098743695800781,1905.9020918101144,11.38733518136352,352.4399622829936,1.0
Llama2-70B,32,8,4,32,32,2304,0.0016155,0.0212930909729003,0,0.0229085909729003,0.0016155,1.984302777832031,4031.6427963380047,5.69366759068176,352.4399622829936,1.0
Llama2-70B,32,16,2,32,32,2304,0.0016155,0.0184618703460693,0,0.0200773703460693,0.0016155,1.7578051276855466,9102.26039735517,2.84683379534088,352.4399622829936,1.0
Llama2-70B,32,32,1,32,32,2304,0.0016155,0.0130229465103149,0,0.0146384465103149,0.0016155,1.322691220825195,24193.09926320973,1.42341689767044,352.4399622829936,1.0
Llama2-70B,32,80,1,32,10,2304,0.0019485,0.0014614998626708,0,0.0034099998626708,0.0019485,0.4247484890136719,188346.75594908345,0.5569765360248161,285.8488765844579,0.84375
Llama2-70B,32,80,1,32,10,6400,0.0019485,0.0014614998626708,0,0.0034099998626708,0.0019485,0.4247484890136719,188346.75594908345,0.5920054715341193,303.8262620139181,0.84375
Llama2-70B,32,80,1,32,10,14592,0.0019485,0.0014614998626708,0,0.0034099998626708,0.0019485,0.4247484890136719,188346.75594908345,0.6620633425527259,339.7810328728387,0.84375
Llama2-70B,32,80,1,32,10,30976,0.0019485,0.0014614998626708,0,0.0034099998626708,0.0019485,0.4247484890136719,188346.75594908345,0.8021790845899391,411.69057459067966,0.84375
