Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,8,1,8,32,32,128,0.0293545,0.0047594247860378,0.00098525,0.0350991747860378,0.016064,1.5700309914415145,636.9301023044494,214.63755774090373,182.79783145761613,1.0
Llama2-13B,8,1,8,32,32,256,0.0304745,0.0047594247860378,0.00153525,0.0367691747860378,0.016064,1.636830991441515,610.9366240184186,215.1127321692346,176.4694516474713,1.0
Llama2-13B,8,1,8,32,32,384,0.0315515,0.0047594247860378,0.00208525,0.0383961747860378,0.016064,1.7019109914415145,587.5747938809669,215.58744738099955,170.82186851734429,1.0
Llama2-13B,8,1,8,32,32,512,0.0326715,0.0047594247860378,0.00263525,0.0400661747860378,0.016064,1.7687109914415144,565.3834938770814,216.0626336978304,165.32959436958086,1.0
Llama2-13B,8,1,8,32,32,640,0.0338345,0.0047594247860378,0.00318525,0.0417791747860378,0.016064,1.837230991441515,544.2973717830588,216.5383030082272,159.99815499580836,1.0
Llama2-13B,8,1,8,32,32,768,0.0349545,0.0047594247860378,0.00373525,0.0434491747860378,0.016064,1.904030991441515,525.2015353189782,217.01347743655805,155.21140156242984,1.0
Llama2-13B,8,1,8,32,32,896,0.0360315,0.0047594247860378,0.00428525,0.0450761747860378,0.016064,1.9691109914415144,507.8433894007856,217.48819264832304,150.90142836706983,1.0
Llama2-13B,8,1,8,32,32,1024,0.0371515,0.0047594247860378,0.00483525,0.0467461747860378,0.016064,2.0359109914415146,491.1806086826792,217.9633789651539,146.6719910132525,1.0
Llama2-13B,8,1,8,32,32,1152,0.0397045,0.0047594247860378,0.00538525,0.0498491747860378,0.016064,2.1600309914415146,462.9563205167912,219.75069765482576,138.3663675747245,1.0
Llama2-13B,8,1,8,32,32,1280,0.0408245,0.0047594247860378,0.00593525,0.0515191747860378,0.016064,2.2268309914415148,449.068655790829,220.22587208315664,134.8613406674648,1.0
Llama2-13B,8,1,8,32,32,1408,0.0419015,0.0047594247860378,0.00648525,0.0531461747860378,0.016064,2.2919109914415148,436.31711865522425,220.7005872949216,131.67821396305715,1.0
Llama2-13B,8,1,8,32,32,1536,0.0430215,0.0047594247860378,0.00703525,0.0548161747860378,0.016064,2.3587109914415145,423.96037650583673,221.17577361175253,128.52630290189353,1.0
Llama2-13B,8,1,8,32,32,1664,0.0441845,0.0047594247860378,0.00758525,0.0565291747860378,0.016064,2.427230991441515,411.9921027401299,221.65144292214927,125.4124426677621,1.0
Llama2-13B,8,1,8,32,32,1792,0.0453045,0.0047594247860378,0.00813525,0.0581991747860378,0.016064,2.494030991441514,400.95732708678736,222.12661735048016,122.57425716566796,1.0
Llama2-13B,8,1,8,32,32,1920,0.0463815,0.0047594247860378,0.0086852499999999,0.0598261747860378,0.016064,2.5591109914415147,390.760699064761,222.60133256224503,119.98390121182211,1.0
Llama2-13B,8,1,8,32,32,2048,0.0475015,0.0047594247860378,0.00923525,0.0614961747860378,0.016064,2.625910991441515,380.8202194435547,223.076518879076,117.40498662098884,1.0
Llama2-13B,8,1,8,32,32,2176,0.0500225,0.0047594247860378,0.0097852499999999,0.0645671747860378,0.016064,2.7487509914415145,363.8015968392884,224.78275138720656,112.34082232355772,1.0
