Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,8,4096,1,8,decoding,10.160454113326388,369.6401612692969,225.2055818387764,113.98615792299084
Llama2-13B,8,4096,1,8,end2end,11.016482780944443,398.3455946107992,223.9828292861494,121.43223168906108
Llama2-13B,8,4096,1,8,prefill,0.8560286676180556,599.2836280013148,215.42356141776048,173.5547480515525
Llama2-13B,8,4096,2,4,decoding,11.419818097583333,654.5453004226109,170.20064850828263,146.07364637366925
Llama2-13B,8,4096,2,4,end2end,12.429307448666666,699.702540927984,168.856621968448,153.69650980313537
Llama2-13B,8,4096,2,4,prefill,1.0094893510833334,1015.8032244655956,159.44843618960545,207.05655380939805
Llama2-13B,8,4096,4,2,decoding,14.1066275166875,1049.0426415379504,148.05080536210923,191.54339519284247
Llama2-13B,8,4096,4,2,end2end,15.4470498705,1109.04933464844,146.4520680230296,198.55038457501385
Llama2-13B,8,4096,4,2,prefill,1.3404223538125002,1529.0961864218675,135.26090664947245,247.5993102502125
Llama2-13B,8,4096,8,1,decoding,19.911096275125,1468.9807914155997,144.4820012673877,244.7339321446762
Llama2-13B,8,4096,8,1,end2end,21.974934623,1533.52310304282,142.36775901218076,249.67998131604315
Llama2-13B,8,4096,8,1,prefill,2.063838347875,1985.3192844333616,127.56806322573226,284.30232551561204
Llama2-13B,8,4096,40,1,decoding,93.609465549625,1564.6891646094632,135.558617191915,233.3849409222525
Llama2-13B,8,4096,40,1,end2end,103.187153131,1636.5767046404746,133.75579500941137,238.28208458759505
Llama2-13B,8,4096,40,1,prefill,9.577687581375,2139.7894848575547,121.13603973188592,272.5620902449931
Llama2-13B,20,4096,1,20,decoding,9.905968183375,380.1256386273726,334.93382559547035,196.05140288261504
Llama2-13B,20,4096,1,20,end2end,10.725641718142857,410.8568361475839,333.6867473931841,212.5837600640368
