Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,8,4096,1,8,decoding,1.480148961326389,2421.377911036948,6.523520585077458,92.088094086356
Llama2-13B,8,4096,1,8,end2end,1.6915988129444444,2421.377911036948,6.507303485304632,91.859168341398
Llama2-13B,8,4096,1,8,prefill,0.2114498516180555,2421.377911036948,6.393783786894852,90.2566881266919
Llama2-13B,8,4096,2,4,decoding,1.454988913583333,4926.498018700854,3.261760292538729,92.088094086356
Llama2-13B,8,4096,2,4,end2end,1.662844472666667,4926.498018700854,3.253651742652316,91.859168341398
Llama2-13B,8,4096,2,4,prefill,0.2078555590833333,4926.498018700854,3.196891893447426,90.2566881266919
Llama2-13B,8,4096,4,2,decoding,1.4022952286875,10223.239519553954,1.6308801462693645,92.088094086356
Llama2-13B,8,4096,4,2,end2end,1.6026231185000002,10223.239519553954,1.626825871326158,91.859168341398
Llama2-13B,8,4096,4,2,prefill,0.2003278898125,10223.239519553954,1.598445946723713,90.2566881266919
Llama2-13B,8,4096,8,1,decoding,1.304028627125,21987.247368344462,0.8154400731346823,92.088094086356
Llama2-13B,8,4096,8,1,end2end,1.4903184310000002,21987.247368344462,0.813412935663079,91.859168341398
Llama2-13B,8,4096,8,1,prefill,0.186289803875,21987.247368344462,0.7992229733618565,90.2566881266919
Llama2-13B,8,4096,40,1,decoding,1.5548290056250005,92203.06508391452,0.2940456844845279,44.73878805394111
Llama2-13B,8,4096,40,1,end2end,1.776947435,92203.06508391454,0.2936402569902072,44.67710262308213
Llama2-13B,8,4096,40,1,prefill,0.222118429375,92203.06508391454,0.2908022645299627,44.24530460706927
Llama2-13B,20,4096,1,20,decoding,2.146313783375,1669.8397167092178,16.308801462693648,230.22023521589
Llama2-13B,20,4096,1,20,end2end,2.4529300381428576,1669.8397167092178,16.268258713261588,229.64792085349487
Llama2-13B,20,4096,1,20,prefill,0.3066162547678572,1669.8397167092178,15.984459467237135,225.64172031672976
Llama2-13B,20,4096,2,10,decoding,2.107251283375,3401.5876780104,8.154400731346824,230.22023521589
Llama2-13B,20,4096,2,10,end2end,2.4082871809999995,3401.5876780103995,8.134129356630794,229.64792085349487
Llama2-13B,20,4096,2,10,prefill,0.3010358976249999,3401.5876780103995,7.992229733618569,225.64172031672976
Llama2-13B,20,4096,4,5,decoding,2.023022767750001,7086.425436498896,4.077200365673412,230.22023521589
Llama2-13B,20,4096,4,5,end2end,2.3120260202857144,7086.4254364988965,4.067064678315397,229.64792085349487
Llama2-13B,20,4096,4,5,prefill,0.2890032525357143,7086.4254364988965,3.996114866809284,225.64172031672976
Llama2-13B,20,4096,5,4,decoding,2.0010501115,8955.29796930825,3.261760292538729,230.22023521589
