Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,8,1,8,32,32,128,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.3816209620652335,90.0849938179734,1.0
Llama2-13B,8,1,8,32,32,256,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.389729511951646,90.1994566904524,1.0
Llama2-13B,8,1,8,32,32,384,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.397838061838059,90.3139195629314,1.0
Llama2-13B,8,1,8,32,32,512,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.405946611724472,90.4283824354104,1.0
Llama2-13B,8,1,8,32,32,640,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.414055161610885,90.5428453078894,1.0
Llama2-13B,8,1,8,32,32,768,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.422163711497297,90.65730818036842,1.0
Llama2-13B,8,1,8,32,32,896,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.43027226138371,90.77177105284744,1.0
Llama2-13B,8,1,8,32,32,1024,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.438380811270123,90.88623392532644,1.0
Llama2-13B,8,1,8,32,32,1152,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.446489361156536,91.00069679780545,1.0
Llama2-13B,8,1,8,32,32,1280,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.454597911042948,91.11515967028446,1.0
Llama2-13B,8,1,8,32,32,1408,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.462706460929361,91.22962254276348,1.0
Llama2-13B,8,1,8,32,32,1536,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.470815010815774,91.34408541524246,1.0
Llama2-13B,8,1,8,32,32,1664,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.478923560702188,91.45854828772148,1.0
Llama2-13B,8,1,8,32,32,1792,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.4870321105886,91.57301116020048,1.0
Llama2-13B,8,1,8,32,32,1920,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.4951406604750135,91.68747403267948,1.0
Llama2-13B,8,1,8,32,32,2048,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.503249210361426,91.80193690515848,1.0
Llama2-13B,8,1,8,32,32,2176,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.511357760247839,91.91639977763748,1.0
Llama2-13B,8,1,8,32,32,2304,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.519466310134251,92.03086265011648,1.0
Llama2-13B,8,1,8,32,32,2432,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.527574860020664,92.1453255225955,1.0
Llama2-13B,8,1,8,32,32,2560,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.535683409907077,92.25978839507452,1.0
Llama2-13B,8,1,8,32,32,2688,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.54379195979349,92.37425126755352,1.0
Llama2-13B,8,1,8,32,32,2816,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.551900509679904,92.48871414003251,1.0
Llama2-13B,8,1,8,32,32,2944,0.001771,0.0047594247860378,0,0.0065304247860378,0.001771,0.4129879914415147,2421.377911036948,6.560009059566315,92.60317701251154,1.0
