Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,8,1,8,32,32,2304,0.0016955,0.006729689432779948,0,0.008425189432779947,0.0016955,0.8257106546223958,1211.0779900948573,12.449454386234597,91.78306094245504,1.0
Llama2-70B,8,2,4,32,32,2304,0.0016955,0.006411797993977866,0,0.008107297993977865,0.0016955,0.8002793395182292,2499.12736870604,6.224727193117299,91.78306094245504,1.0
Llama2-70B,8,4,2,32,32,2304,0.0016955,0.005782637854682075,0,0.007478137854682075,0.0016955,0.749946528374566,5333.713603114611,3.1123635965586494,91.78306094245504,1.0
Llama2-70B,8,8,1,32,32,2304,0.0016955,0.004573988113403321,0,0.006269488113403321,0.0016955,0.6532545490722657,12246.3747269137,1.5561817982793247,91.78306094245504,1.0
Llama2-70B,8,80,1,32,3,2304,0.0221555,0.0004647777472601,0,0.0226202777472602,0.0221555,1.981777719780816,40367.79665120464,0.4524405209069663,20.421137907380384,1.0
Llama2-70B,8,80,1,32,3,6400,0.0221555,0.0004647777472601,0,0.0226202777472602,0.0221555,1.981777719780816,40367.79665120464,0.4628194647615747,20.889596929050324,1.0
Llama2-70B,8,80,1,32,3,14592,0.0221555,0.0004647777472601,0,0.0226202777472602,0.0221555,1.981777719780816,40367.79665120464,0.4835773524707915,21.826514972390207,1.0
Llama2-70B,8,80,1,32,3,30976,0.0221555,0.0004647777472601,0,0.0226202777472602,0.0221555,1.981777719780816,40367.79665120464,0.525093127889225,23.70035105906997,1.0
Llama2-70B,20,1,20,32,32,2304,0.0016955,0.0148387594386509,0,0.0165342594386509,0.0016955,1.4744362550920758,678.2253193696406,31.12363596558649,229.4576523561376,1.0
Llama2-70B,20,2,10,32,32,2304,0.0016955,0.0141149887520926,0,0.0158104887520926,0.0016955,1.4165346001674106,1411.8963276743357,15.56181798279325,229.45765235613763,1.0
Llama2-70B,20,4,5,32,32,2304,0.0016955,0.0134763675580705,0,0.0151718675580705,0.0016955,1.3654449046456474,2929.448113498257,7.780908991396624,229.4576523561376,1.0
Llama2-70B,20,5,4,32,32,2304,0.0016955,0.0130931948416573,0,0.0147886948416573,0.0016955,1.3347910873325894,3745.9045445020656,6.224727193117299,229.4576523561376,1.0
Llama2-70B,20,10,2,32,32,2304,0.0016955,0.0114753544834681,0,0.0131708544834681,0.0016955,1.205363858677455,8296.250072548351,3.1123635965586494,229.4576523561376,1.0
Llama2-70B,20,20,1,32,32,2304,0.0016955,0.0083673980058942,0,0.0100628980058942,0.0016955,0.95672734047154,20904.5975315628,1.556181798279325,229.4576523561376,1.0
Llama2-70B,20,80,1,32,8,2304,0.003832,0.0009122856358119,0,0.0047442856358119,0.003832,0.5333748508649554,149988.32410314583,0.6059270159256556,158.12291647329218,1.0
Llama2-70B,20,80,1,32,8,6400,0.003832,0.0009122856358119,0,0.0047442856358119,0.003832,0.5333748508649554,149988.32410314583,0.6318743755621765,164.89414811121517,1.0
Llama2-70B,20,80,1,32,8,14592,0.003832,0.0009122856358119,0,0.0047442856358119,0.003832,0.5333748508649554,149988.32410314583,0.6837690948352184,178.4366113870612,1.0
Llama2-70B,20,80,1,32,8,30976,0.003832,0.0009122856358119,0,0.0047442856358119,0.003832,0.5333748508649554,149988.32410314583,0.7875585333813024,205.5215379387532,1.0
Llama2-70B,32,1,32,32,32,2304,0.0016955,0.0245713464355468,0,0.0262668464355468,0.0016955,2.25304321484375,443.8441275390054,49.79781754493839,367.13224376982015,1.0
Llama2-70B,32,2,16,32,32,2304,0.0016955,0.0239752999877929,0,0.0256707999877929,0.0016955,2.2053594990234373,906.8816221961212,24.898908772469195,367.13224376982015,1.0
Llama2-70B,32,4,8,32,32,2304,0.0016955,0.0227236024475097,0,0.0244191024475097,0.0016955,2.105223695800781,1900.035615207384,12.449454386234596,367.13224376982015,1.0
Llama2-70B,32,8,4,32,32,2304,0.0016955,0.0212930909729003,0,0.0229885909729003,0.0016955,1.990782777832031,4018.519794867839,6.224727193117299,367.13224376982015,1.0
Llama2-70B,32,16,2,32,32,2304,0.0016955,0.0184618703460693,0,0.0201573703460693,0.0016955,1.764285127685547,9068.828926189148,3.1123635965586494,367.13224376982015,1.0
Llama2-70B,32,32,1,32,32,2304,0.0016955,0.0130229465103149,0,0.0147184465103149,0.0016955,1.3291712208251951,24075.152620392502,1.556181798279325,367.13224376982015,1.0
Llama2-70B,32,80,1,32,10,2304,0.002914,0.0014614998626708,0,0.0043754998626708,0.002914,0.5029539890136718,159060.27538798455,0.7023351071353945,241.0209701905952,0.84375
Llama2-70B,32,80,1,32,10,6400,0.002914,0.0014614998626708,0,0.0043754998626708,0.002914,0.5029539890136718,159060.27538798455,0.7373640426446977,253.04188148411032,0.84375
Llama2-70B,32,80,1,32,10,14592,0.002914,0.0014614998626708,0,0.0043754998626708,0.002914,0.5029539890136718,159060.27538798455,0.8074219136633043,277.0837040711408,0.84375
Llama2-70B,32,80,1,32,10,30976,0.002914,0.0014614998626708,0,0.0043754998626708,0.002914,0.5029539890136718,159060.27538798455,0.9475376557005176,325.16734924520154,0.84375
