Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,8,1,8,32,32,128,0.0294185,0.0047594247860378,0.00098525,0.0351631747860378,0.016064,1.5725909914415148,635.893252245678,214.71102641142213,182.46258851693847,1.0
Llama2-13B,8,1,8,32,32,256,0.0305385,0.0047594247860378,0.00153525,0.0368331747860378,0.016064,1.6393909914415148,609.982612580237,215.186200839753,176.15976622931137,1.0
Llama2-13B,8,1,8,32,32,384,0.0316155,0.0047594247860378,0.00208525,0.0384601747860378,0.016064,1.7044709914415144,586.6922963319397,215.660916051518,170.53416524451455,1.0
Llama2-13B,8,1,8,32,32,512,0.0327355,0.0047594247860378,0.00263525,0.0401301747860378,0.016064,1.7712709914415148,564.5663508474044,216.1361023683488,165.06247221544567,1.0
Llama2-13B,8,1,8,32,32,640,0.0338985,0.0047594247860378,0.00318525,0.0418431747860378,0.016064,1.839790991441515,543.5400024523867,216.6117716787456,159.75026304906237,1.0
Llama2-13B,8,1,8,32,32,768,0.0350185,0.0047594247860378,0.00373525,0.0435131747860378,0.016064,1.906590991441515,524.4963416322086,217.0869461070765,154.98018626374386,1.0
Llama2-13B,8,1,8,32,32,896,0.0360955,0.0047594247860378,0.00428525,0.0451401747860378,0.016064,1.971670991441515,507.184010081158,217.56166131884137,150.6847538604822,1.0
Llama2-13B,8,1,8,32,32,1024,0.0372155,0.0047594247860378,0.00483525,0.0468101747860378,0.016064,2.038470991441515,490.56376283914886,218.0368476356724,146.46911074395908,1.0
Llama2-13B,8,1,8,32,32,1152,0.0397685,0.0047594247860378,0.00538525,0.0499131747860378,0.016064,2.162590991441515,462.4082889263455,219.8241663253442,138.18987787152153,1.0
Llama2-13B,8,1,8,32,32,1280,0.0408885,0.0047594247860378,0.00593525,0.0515831747860378,0.016064,2.229390991441514,448.5529922023253,220.29934075367504,134.6951714746659,1.0
Llama2-13B,8,1,8,32,32,1408,0.0419655,0.0047594247860378,0.00648525,0.0532101747860378,0.016064,2.2944709914415147,435.8303084807118,220.77405596544003,131.52116379254392,1.0
Llama2-13B,8,1,8,32,32,1536,0.0430855,0.0047594247860378,0.00703525,0.0548801747860378,0.016064,2.361270991441515,423.50073482650856,221.2492422822709,128.37801713005013,1.0
Llama2-13B,8,1,8,32,32,1664,0.0442485,0.0047594247860378,0.00758525,0.0565931747860378,0.016064,2.429790991441515,411.55803257247777,221.72491159266767,125.27255816167089,1.0
Llama2-13B,8,1,8,32,32,1792,0.0453685,0.0047594247860378,0.00813525,0.0582631747860378,0.016064,2.4965909914415145,400.54618615066255,222.20008602099853,122.4418296951622,1.0
Llama2-13B,8,1,8,32,32,1920,0.0464455,0.0047594247860378,0.0086852499999999,0.0598901747860378,0.016064,2.561670991441515,390.3701932609525,222.6748012327636,119.85811393609904,1.0
Llama2-13B,8,1,8,32,32,2048,0.0475655,0.0047594247860378,0.00923525,0.0615601747860378,0.016064,2.6284709914415147,380.4493194926137,223.1499875495944,117.28563115577174,1.0
Llama2-13B,8,1,8,32,32,2176,0.0500865,0.0047594247860378,0.0097852499999999,0.0646311747860378,0.016064,2.7513109914415144,363.46309199893926,224.856220057725,112.23394530348747,1.0
Llama2-13B,8,1,8,32,32,2304,0.0512065,0.0047594247860378,0.01033525,0.0663011747860378,0.016064,2.818110991441515,354.8476277325336,225.33139448605587,110.01112870732032,1.0
Llama2-13B,8,1,8,32,32,2432,0.0522835,0.0047594247860378,0.0108852499999999,0.0679281747860378,0.016064,2.8831909914415146,346.8379316418536,225.8061096978209,107.97197476155044,1.0
Llama2-13B,8,1,8,32,32,2560,0.0534035,0.0047594247860378,0.01143525,0.0695981747860378,0.016064,2.9499909914415143,338.984086019649,226.28129601465173,105.9299933593546,1.0
Llama2-13B,8,1,8,32,32,2688,0.0545665,0.0047594247860378,0.01198525,0.0713111747860378,0.016064,3.0185109914415147,331.289169671846,226.75696532504847,103.89019147510312,1.0
Llama2-13B,8,1,8,32,32,2816,0.0556865,0.0047594247860378,0.01253525,0.0729811747860378,0.016064,3.085310991441515,324.1164351904705,227.23213975337944,102.01401585365366,1.0
Llama2-13B,8,1,8,32,32,2944,0.0567635,0.0047594247860378,0.01308525,0.0746081747860378,0.016064,3.150390991441515,317.4209178215156,227.7068549651444,100.28753290633256,1.0
Llama2-13B,8,1,8,32,32,3072,0.0578835,0.0047594247860378,0.01363525,0.0762781747860378,0.016064,3.2171909914415147,310.830162915486,228.1820412819752,98.55228229200692,1.0
Llama2-13B,8,1,8,32,32,3200,0.0604045,0.0047594247860378,0.01418525,0.0793491747860378,0.016064,3.3400309914415147,299.3984195243688,229.88827379010587,95.14534256144236,1.0
Llama2-13B,8,1,8,32,32,3328,0.0615245,0.0047594247860378,0.0147352499999999,0.0810191747860378,0.016064,3.406830991441515,293.5279156823905,230.3634482184368,93.60638778796935,1.0
Llama2-13B,8,1,8,32,32,3456,0.0626015,0.0047594247860378,0.01528525,0.0826461747860378,0.016064,3.471910991441515,288.0258170399716,230.8381634302017,92.1855560290894,1.0
