Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,8,1,8,32,32,2304,0.0986345,0.006729689432779948,0.016519000000000002,0.12188318943277995,0.0192475,9.919902654622398,100.80744084056388,901.0882215685684,114.1953654107549,1.0
Llama2-70B,8,2,4,32,32,2304,0.1252805,0.006411797993977866,0.016519000000000002,0.14821129799397786,0.0339355,12.040839339518229,166.10137745430816,801.8684742262598,160.01462203340895,1.0
Llama2-70B,8,4,2,32,32,2304,0.1755165,0.005782637854682075,0.016519000000000002,0.19781813785468208,0.0633115,16.038762528374566,249.39579926590363,754.9898457714469,215.07660128006404,1.0
Llama2-70B,8,8,1,32,32,2304,0.2780565,0.004573988113403321,0.016519000000000002,0.2991494881134033,0.1213595,24.203318549072264,330.5331863388894,745.0032391131872,267.9323227880619,1.0
Llama2-70B,8,80,1,32,3,2304,2.667612,0.0004647777472601,0.16519,2.8332667777472604,1.2585155,228.06985771978083,350.76971941769,676.3157785946357,253.52854110516665,1.0
Llama2-70B,8,80,1,32,3,6400,3.564916,0.0004647777472601,0.4467899999999999,4.012170777747261,1.2585155,322.3821777197808,248.1526757026164,765.7345695567111,214.79736677013173,1.0
Llama2-70B,8,80,1,32,3,14592,5.352908,0.0004647777472601,1.00999,6.363362777747261,1.2585155,510.47753771978086,156.71600430715685,943.2051737900556,176.2042564135336,1.0
Llama2-70B,8,80,1,32,3,30976,8.935508,0.0004647777472601,2.1363900000000005,11.07236277774726,1.2585155,887.1975377197808,90.171575775121,1299.661538856351,145.4490935329419,1.0
Llama2-70B,20,1,20,32,32,2304,0.0860245,0.0148387594386509,0.016519,0.1173822594386509,0.0119035,9.552484255092075,104.68481007617856,1304.1790329699586,189.50691851884608,1.0
Llama2-70B,20,2,10,32,32,2304,0.0967525,0.0141149887520926,0.016519,0.1273864887520926,0.0183235,10.35924260016741,193.0643076133461,1043.7781006832704,269.70313446248684,1.0
Llama2-70B,20,4,5,32,32,2304,0.1182085,0.0134763675580705,0.016519,0.1482038675580705,0.0311635,12.037472904645648,332.2956597024839,913.5776442119264,386.4263755194958,1.0
Llama2-70B,20,5,4,32,32,2304,0.1252805,0.0130931948416573,0.016519,0.1548926948416573,0.0339355,12.575351087332589,397.60321324440827,801.8684742262598,400.03655508352256,1.0
Llama2-70B,20,10,2,32,32,2304,0.1755165,0.0114753544834681,0.016519,0.2035108544834682,0.0633115,16.494179858677455,606.2744607904273,754.9898457714469,537.6915032001602,1.0
Llama2-70B,20,20,1,32,32,2304,0.2780565,0.0083673980058942,0.016519,0.3029428980058942,0.1213595,24.50679134047154,816.1003095893327,745.0032391131872,669.8308069701545,1.0
Llama2-70B,20,80,1,32,8,2304,1.0021745,0.0009122856358119,0.066076,1.069162785635812,0.4731,86.15612285086496,928.5468908400032,676.0191830280754,674.5523689018984,1.0
Llama2-70B,20,80,1,32,8,6400,1.3450705,0.0009122856358119,0.1787159999999999,1.5246987856358118,0.4731,122.59900285086496,652.5338554124756,761.5891870706163,566.207635265673,1.0
Llama2-70B,20,80,1,32,8,14592,2.0308625,0.0009122856358119,0.4039959999999999,2.435770785635812,0.4731,195.4847628508649,409.2390569644136,932.7291951556984,459.2773736063858,1.0
Llama2-70B,20,80,1,32,8,30976,3.4024465,0.0009122856358119,0.8545560000000001,4.257914785635812,0.4731,341.2562828508649,234.4279183131155,1275.009211325863,374.7330667288561,1.0
Llama2-70B,32,1,32,32,32,2304,0.0841425,0.0245713464355468,0.016519,0.1252328464355468,0.0100555,10.17868321484375,98.24453506340414,1839.9907026414048,273.34443097147766,1.0
Llama2-70B,32,2,16,32,32,2304,0.0879065,0.0239752999877929,0.016519,0.1284007999877929,0.0119035,10.43396749902344,191.6816398160325,1157.907497021792,329.3008756524806,1.0
Llama2-70B,32,4,8,32,32,2304,0.0986345,0.0227236024475097,0.016519,0.1378771024475097,0.0192475,11.19941569580078,357.16149026415724,901.0882215685684,456.7814616430196,1.0
Llama2-70B,32,8,4,32,32,2304,0.1252805,0.0212930909729003,0.016519,0.1630925909729003,0.0339355,13.231342777832031,604.6249526089905,801.8684742262598,640.0584881336358,1.0
Llama2-70B,32,16,2,32,32,2304,0.1755165,0.0184618703460693,0.016519,0.2104973703460693,0.0633115,17.053101127685547,938.245770091878,754.9898457714469,860.3064051202562,1.0
Llama2-70B,32,32,1,32,32,2304,0.2780565,0.0130229465103149,0.016519,0.3075984465103149,0.1213595,24.8792352208252,1286.2131699777638,745.0032391131872,1071.7292911522477,1.0
Llama2-70B,32,80,1,32,10,2304,0.811275,0.0014614998626708,0.049557,0.8622934998626708,0.382388,69.51586798901367,1150.8163864492528,698.5287447150271,861.0258478506391,0.84375
Llama2-70B,32,80,1,32,10,6400,1.081863,0.0014614998626708,0.134037,1.217361499862671,0.382388,97.92130798901368,816.982551019188,790.922877731994,731.0748937083475,0.84375
Llama2-70B,32,80,1,32,10,14592,1.629655,0.0014614998626708,0.3029969999999999,1.934113499862671,0.382388,155.26146798901368,515.2598454476857,979.5073113242656,601.0519473902546,0.84375
Llama2-70B,32,80,1,32,10,30976,2.718623,0.0014614998626708,0.6409170000000001,3.3610014998626707,0.382388,269.41250798901365,296.94241220330537,1352.726680250871,497.5778841902208,0.84375
