Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,8,4096,1,8,decoding,1.4699363533263887,2438.200805014174,5.93526364440923,87.20634211591577
Llama2-13B,8,4096,1,8,end2end,1.6799272609444442,2438.200805014174,5.919046544636403,86.96806559853664
Llama2-13B,8,4096,1,8,prefill,0.2099909076180555,2438.200805014174,5.805526846226624,85.30012997688252
Llama2-13B,8,4096,2,4,decoding,1.444776305583333,4961.321674711363,2.967631822204615,87.20634211591577
Llama2-13B,8,4096,2,4,end2end,1.6511729206666663,4961.321674711363,2.9595232723182017,86.96806559853664
Llama2-13B,8,4096,2,4,prefill,0.2063966150833333,4961.321674711363,2.902763423113312,85.30012997688252
Llama2-13B,8,4096,4,2,decoding,1.3920826206874997,10298.23933361079,1.4838159111023077,87.20634211591577
Llama2-13B,8,4096,4,2,end2end,1.5909515664999996,10298.239333610789,1.4797616361591008,86.96806559853664
Llama2-13B,8,4096,4,2,prefill,0.1988689458124999,10298.239333610789,1.451381711556656,85.30012997688252
Llama2-13B,8,4096,8,1,decoding,1.2938160191249997,22160.801517506865,0.7419079555511537,87.20634211591577
Llama2-13B,8,4096,8,1,end2end,1.4786468789999996,22160.801517506872,0.7398808180795504,86.96806559853664
Llama2-13B,8,4096,8,1,prefill,0.1848308598749999,22160.801517506872,0.725690855778328,85.30012997688252
Llama2-13B,8,4096,40,1,decoding,0.9413378056249996,152293.89401269858,0.2110069738328515,88.01125081662214
Llama2-13B,8,4096,40,1,end2end,1.0758146349999995,152293.89401269858,0.2106015463385309,87.84214654370425
Llama2-13B,8,4096,40,1,prefill,0.1344768293749999,152293.89401269858,0.2077635538782865,86.65841663327903
Llama2-13B,20,4096,1,20,decoding,2.1361011753750003,1677.823148695575,14.838159111023076,218.0158552897895
Llama2-13B,20,4096,1,20,end2end,2.441258486142857,1677.8231486955744,14.797616361591013,217.4201639963416
Llama2-13B,20,4096,1,20,prefill,0.3051573107678572,1677.8231486955744,14.513817115566564,213.2503249422064
Llama2-13B,20,4096,2,10,decoding,2.097038675375,3418.153458098808,7.419079555511538,218.0158552897895
Llama2-13B,20,4096,2,10,end2end,2.396615629,3418.153458098808,7.3988081807955055,217.4201639963416
Llama2-13B,20,4096,2,10,prefill,0.299576953625,3418.153458098808,7.256908557783282,213.2503249422064
Llama2-13B,20,4096,4,5,decoding,2.0128101597500003,7122.380583462772,3.709539777755769,218.0158552897895
Llama2-13B,20,4096,4,5,end2end,2.300354468285714,7122.380583462772,3.6994040903977528,217.4201639963416
Llama2-13B,20,4096,4,5,prefill,0.2875443085357143,7122.380583462772,3.628454278891641,213.2503249422064
Llama2-13B,20,4096,5,4,decoding,1.9908375035,9001.236900799622,2.967631822204615,218.0158552897895
