Model,Device number,Channels per device,Channels per block,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,32,16,4096,40,1,decoding,1.2318869161875,31310.83739656894,1.2914429028940424,268.9665527218666
Llama2-13B,20,32,16,4096,40,1,end2end,1.3177587613571426,34890.38020609265,1.290429334158241,268.75545853550784
Llama2-13B,20,32,16,4096,40,1,prefill,0.0858718451696428,59947.17987275861,1.283334353007629,267.2777992309965
Llama2-13B,20,32,32,4096,1,20,decoding,4.282752311374999,856.1252690040385,44.75755440593319,273.8805189446408
Llama2-13B,20,32,32,4096,1,20,end2end,4.714350070142857,897.5222582936464,44.71701165650112,273.6324296689581
Llama2-13B,20,32,32,4096,1,20,prefill,0.4315977587678571,1187.3011833209014,44.43321241047667,271.8958047391793
Llama2-13B,20,32,32,4096,2,10,decoding,4.243689811374999,1728.7621085594858,22.3787772029666,273.8805189446408
Llama2-13B,20,32,32,4096,2,10,end2end,4.669707213,1813.386988865748,22.358505828250564,273.6324296689581
Llama2-13B,20,32,32,4096,2,10,prefill,0.4260174016249999,2405.7611510095803,22.21660620523833,271.8958047391793
Llama2-13B,20,32,32,4096,4,5,decoding,4.159461295749999,3530.99786939034,11.189388601483296,273.8805189446408
Llama2-13B,20,32,32,4096,4,5,end2end,4.573446052285713,3708.576507545731,11.17925291412528,273.6324296689581
Llama2-13B,20,32,32,4096,4,5,prefill,0.4139847565357142,4951.626974633473,11.108303102619168,271.8958047391793
Llama2-13B,20,32,32,4096,5,4,decoding,4.137488639499999,4438.367652228173,8.951510881186637,273.8805189446408
Llama2-13B,20,32,32,4096,5,4,end2end,4.5483344451428565,4663.185672348041,8.943402331300227,273.6324296689581
Llama2-13B,20,32,32,4096,5,4,prefill,0.4108458056428571,6236.911813187119,8.886642482095336,271.8958047391793
Llama2-13B,20,32,32,4096,10,2,decoding,4.001990592625,9193.29124319326,4.475755440593319,273.8805189446408
Llama2-13B,20,32,32,4096,10,2,end2end,4.393479534428571,9680.608750480029,4.4717011656501136,273.6324296689581
Llama2-13B,20,32,32,4096,10,2,prefill,0.3914889418035713,13091.831301487404,4.443321241047668,271.8958047391793
Llama2-13B,20,32,32,4096,20,1,decoding,3.74930504575,19700.41446782996,2.23787772029666,273.8805189446408
Llama2-13B,20,32,32,4096,20,1,end2end,4.104696052285714,20844.06140089209,2.2358505828250568,273.6324296689581
Llama2-13B,20,32,32,4096,20,1,prefill,0.3553910065357142,28849.58993232701,2.221660620523834,271.8958047391793
Llama2-13B,32,32,16,4096,40,1,decoding,1.244246535328125,30950.30207430338,1.2914429028940424,268.9665527218666
Llama2-13B,32,32,16,4096,40,1,end2end,1.331884040375,34422.34625216243,1.290429334158241,268.75545853550784
Llama2-13B,32,32,16,4096,40,1,prefill,0.087637505046875,58726.6554971758,1.283334353007629,267.2777992309965
Llama2-70B,20,32,8,4096,80,1,decoding,6.105170042375001,13395.998450667666,1.5118569091091767,200.4317790148717
Llama2-70B,20,32,8,4096,80,1,end2end,6.400620391285715,16137.014609669082,1.510235199131894,200.2167836579472
Llama2-70B,20,32,8,4096,80,1,prefill,0.2954503489107143,35324.127722678975,1.4988832292909162,198.7118161594746
Llama2-70B,32,32,10,4096,80,1,decoding,4.688351350156251,17318.709490710306,1.7507743122371997,294.99145951764115
Llama2-70B,32,32,10,4096,80,1,end2end,4.925578228750001,20639.53681587647,1.7485850037678683,294.62257856240416
Llama2-70B,32,32,10,4096,80,1,prefill,0.23722687859375,43885.32809203958,1.7332598444825482,292.0404118757453
Llama2-70B,32,32,32,4096,1,32,decoding,14.033772802,260.98424588336815,131.77234238380234,437.4330845299504
Llama2-70B,32,32,32,4096,1,32,end2end,15.461880688,273.2114887620218,131.56476350671016,436.74400314271054
Llama2-70B,32,32,32,4096,1,32,prefill,1.428107886,358.80218891259733,130.11171136706497,431.92043343203073
Llama2-70B,32,32,32,4096,2,16,decoding,13.8628743645,528.6960322007291,65.88617119190117,437.4330845299504
Llama2-70B,32,32,32,4096,2,16,end2end,15.266568187999999,553.8722670788309,65.78238175335508,436.74400314271054
Llama2-70B,32,32,32,4096,2,16,prefill,1.4036938234999998,730.1059112255431,65.05585568353249,431.92043343203073
Llama2-70B,32,32,32,4096,4,8,decoding,13.50398764575,1086.835696516947,32.943085595950585,437.4330845299504
Llama2-70B,32,32,32,4096,4,8,end2end,14.856411937999999,1140.439260418841,32.89119087667754,436.74400314271054
Llama2-70B,32,32,32,4096,4,8,prefill,1.35242429225,1515.6642077321012,32.52792784176624,431.92043343203073
Llama2-70B,32,32,32,4096,8,4,decoding,13.09383139575,2245.2240737443303,16.471542797975292,437.4330845299504
Llama2-70B,32,32,32,4096,8,4,end2end,14.387661938,2360.6797460959433,16.44559543833877,436.74400314271054
Llama2-70B,32,32,32,4096,8,4,prefill,1.29383054225,3168.869452557236,16.26396392088312,431.92043343203073
Llama2-70B,32,32,32,4096,16,2,decoding,12.282063817625,4804.252694162211,8.235771398987646,437.4330845299504
Llama2-70B,32,32,32,4096,16,2,end2end,13.459927562999999,5074.111248114208,8.222797719169385,436.74400314271054
Llama2-70B,32,32,32,4096,16,2,prefill,1.177863745375,6963.121125778187,8.13198196044156,431.92043343203073
Llama2-70B,32,32,32,4096,32,1,decoding,10.7226155754375,11109.535852638974,4.117885699493823,437.4330845299504
Llama2-70B,32,32,32,4096,32,1,end2end,11.6777010005,11868.983533354276,4.111398859584693,436.74400314271054
Llama2-70B,32,32,32,4096,32,1,prefill,0.9550854250625002,17185.1172983614,4.06599098022078,431.92043343203073
Llama2-7B,8,32,8,4096,32,1,decoding,1.496179725784722,20812.02603057467,0.5394970730842088,78.88537404360417
Llama2-7B,8,32,8,4096,32,1,end2end,1.594576326611111,23449.256193857043,0.5391727310887523,78.83794868968452
Llama2-7B,8,32,8,4096,32,1,prefill,0.0983966008263888,41909.867336833646,0.5369023371205566,78.50597121224695
Llama2-7B,8,32,32,4096,1,8,decoding,2.5881073230833334,1420.764316408574,11.70783359168296,106.18772304167535
