Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,8,1,8,32,32,128,0.0040855,0.0047594247860378,0.00290525,0.0117501747860378,0.0040855,0.6240924914415147,1602.3266001650215,17.761122139361053,108.68389511296692,1.0
Llama2-13B,8,1,8,32,32,256,0.0040855,0.0047594247860378,0.00345525,0.0123001747860378,0.0040855,0.6460924914415147,1547.766013762012,17.76923068924747,108.73351296810344,1.0
Llama2-13B,8,1,8,32,32,384,0.0040855,0.0047594247860378,0.00400525,0.0128501747860378,0.0040855,0.6680924914415147,1496.798740908377,17.777339239133873,108.78313082324,1.0
Llama2-13B,8,1,8,32,32,512,0.0040855,0.0047594247860378,0.00455525,0.0134001747860378,0.0040855,0.6900924914415146,1449.0811194179614,17.785447789020292,108.83274867837652,1.0
Llama2-13B,8,1,8,32,32,640,0.0040855,0.0047594247860378,0.00510525,0.0139501747860378,0.0040855,0.7120924914415147,1404.311956689311,17.793556338906704,108.88236653351306,1.0
Llama2-13B,8,1,8,32,32,768,0.0040855,0.0047594247860378,0.00565525,0.0145001747860378,0.0040855,0.7340924914415147,1362.2261658559278,17.801664888793116,108.93198438864958,1.0
Llama2-13B,8,1,8,32,32,896,0.0040855,0.0047594247860378,0.00620525,0.0150501747860378,0.0040855,0.7560924914415147,1322.5895129489618,17.809773438679528,108.98160224378611,1.0
Llama2-13B,8,1,8,32,32,1024,0.0040855,0.0047594247860378,0.00675525,0.0156001747860378,0.0040855,0.7780924914415147,1285.1942551808636,17.817881988565947,109.03122009892267,1.0
Llama2-13B,8,1,8,32,32,1152,0.0040855,0.0047594247860378,0.00730525,0.0161501747860378,0.0040855,0.8000924914415146,1249.8554988290357,17.825990538452352,109.0808379540592,1.0
Llama2-13B,8,1,8,32,32,1280,0.0040855,0.0047594247860378,0.00785525,0.0167001747860378,0.0040855,0.8220924914415147,1216.4081419190798,17.834099088338768,109.13045580919572,1.0
Llama2-13B,8,1,8,32,32,1408,0.0040855,0.0047594247860378,0.00840525,0.0172501747860378,0.0040855,0.8440924914415147,1184.7042950142009,17.84220763822518,109.18007366433228,1.0
Llama2-13B,8,1,8,32,32,1536,0.0040855,0.0047594247860378,0.00895525,0.0178001747860378,0.0040855,0.8660924914415148,1154.6110950986435,17.85031618811159,109.22969151946882,1.0
Llama2-13B,8,1,8,32,32,1664,0.0040855,0.0047594247860378,0.00950525,0.0183501747860378,0.0040855,0.8880924914415147,1126.0088443905677,17.858424737998007,109.27930937460536,1.0
Llama2-13B,8,1,8,32,32,1792,0.0040855,0.0047594247860378,0.01005525,0.0189001747860378,0.0040855,0.9100924914415146,1098.789419101875,17.866533287884423,109.3289272297419,1.0
Llama2-13B,8,1,8,32,32,1920,0.0040855,0.0047594247860378,0.0106052499999999,0.0194501747860378,0.0040855,0.9320924914415146,1072.8549035444582,17.87464183777083,109.3785450848784,1.0
Llama2-13B,8,1,8,32,32,2048,0.0040855,0.0047594247860378,0.01115525,0.0200001747860378,0.0040855,0.9540924914415148,1048.1164132097138,17.882750387657243,109.42816294001496,1.0
Llama2-13B,8,1,8,32,32,2176,0.0040855,0.0047594247860378,0.0117052499999999,0.0205501747860378,0.0040855,0.9760924914415146,1024.4930770066455,17.890858937543655,109.4777807951515,1.0
Llama2-13B,8,1,8,32,32,2304,0.0040855,0.0047594247860378,0.01225525,0.0211001747860378,0.0040855,0.9980924914415148,1001.91115410129,17.898967487430074,109.52739865028802,1.0
Llama2-13B,8,1,8,32,32,2432,0.0040855,0.0047594247860378,0.0128052499999999,0.0216501747860378,0.0040855,1.0200924914415146,980.3032650371522,17.907076037316482,109.57701650542457,1.0
Llama2-13B,8,1,8,32,32,2560,0.0040855,0.0047594247860378,0.01335525,0.0222001747860378,0.0040855,1.0420924914415146,959.6077202482396,17.915184587202898,109.62663436056113,1.0
Llama2-13B,8,1,8,32,32,2688,0.0040855,0.0047594247860378,0.01390525,0.0227501747860378,0.0040855,1.0640924914415144,939.7679318696356,17.923293137089306,109.67625221569764,1.0
Llama2-13B,8,1,8,32,32,2816,0.0040855,0.0047594247860378,0.01445525,0.0233001747860378,0.0040855,1.0860924914415149,920.7318970346176,17.931401686975722,109.72587007083418,1.0
Llama2-13B,8,1,8,32,32,2944,0.0040855,0.0047594247860378,0.01500525,0.0238501747860378,0.0040855,1.108092491441515,902.4517427233015,17.939510236862134,109.77548792597072,1.0
Llama2-13B,8,1,8,32,32,3072,0.0040855,0.0047594247860378,0.01555525,0.0244001747860378,0.0040855,1.1300924914415147,884.8833237750546,17.94761878674855,109.82510578110724,1.0
Llama2-13B,8,1,8,32,32,3200,0.0040855,0.0047594247860378,0.01610525,0.0249501747860378,0.0040855,1.1520924914415147,867.9858669582904,17.955727336634958,109.8747236362438,1.0
Llama2-13B,8,1,8,32,32,3328,0.0040855,0.0047594247860378,0.01665525,0.0255001747860378,0.0040855,1.1740924914415145,851.7216550565201,17.96383588652137,109.92434149138032,1.0
Llama2-13B,8,1,8,32,32,3456,0.0040855,0.0047594247860378,0.01720525,0.0260501747860378,0.0040855,1.1960924914415147,836.0557458184637,17.971944436407785,109.97395934651684,1.0
Llama2-13B,8,1,8,32,32,3584,0.0040855,0.0047594247860378,0.01775525,0.0266001747860378,0.0040855,1.2180924914415148,820.9557213644591,17.9800529862942,110.0235772016534,1.0
Llama2-13B,8,1,8,32,32,3712,0.0040855,0.0047594247860378,0.01830525,0.0271501747860378,0.0040855,1.2400924914415146,806.3914642669718,17.98816153618061,110.07319505678991,1.0
Llama2-13B,8,1,8,32,32,3840,0.0040855,0.0047594247860378,0.01885525,0.0277001747860378,0.0040855,1.2620924914415148,792.3349570504436,17.996270086067025,110.12281291192647,1.0
Llama2-13B,8,1,8,32,32,3968,0.0040855,0.0047594247860378,0.01940525,0.0282501747860378,0.0040855,1.2840924914415146,778.7601023018256,18.00437863595344,110.17243076706302,1.0
Llama2-13B,8,1,8,32,32,4096,0.0040855,0.0047594247860378,0.01995525,0.0288001747860378,0.0040855,1.3060924914415146,765.6425609616016,18.01248718583985,110.22204862219954,1.0
Llama2-13B,8,2,4,32,32,128,0.0040855,0.0045839222208658,0.00290525,0.0115746722208658,0.0040855,0.6170723888346353,3241.110826198327,8.880561069680526,108.68389511296692,1.0
Llama2-13B,8,2,4,32,32,256,0.0040855,0.0045839222208658,0.00345525,0.0121246722208658,0.0040855,0.6390723888346354,3129.53592572987,8.884615344623734,108.73351296810344,1.0
Llama2-13B,8,2,4,32,32,384,0.0040855,0.0045839222208658,0.00400525,0.0126746722208658,0.0040855,0.6610723888346354,3025.387285537185,8.888669619566937,108.78313082324,1.0
Llama2-13B,8,2,4,32,32,512,0.0040855,0.0045839222208658,0.00455525,0.0132246722208658,0.0040855,0.6830723888346354,2927.9473635468216,8.892723894510146,108.83274867837652,1.0
Llama2-13B,8,2,4,32,32,640,0.0040855,0.0045839222208658,0.00510525,0.0137746722208658,0.0040855,0.7050723888346354,2836.5881740251657,8.896778169453352,108.88236653351306,1.0
Llama2-13B,8,2,4,32,32,768,0.0040855,0.0045839222208658,0.00565525,0.0143246722208658,0.0040855,0.7270723888346354,2750.757738449724,8.900832444396558,108.93198438864958,1.0
Llama2-13B,8,2,4,32,32,896,0.0040855,0.0045839222208658,0.00620525,0.0148746722208658,0.0040855,0.7490723888346353,2669.968923980081,8.904886719339764,108.98160224378611,1.0
Llama2-13B,8,2,4,32,32,1024,0.0040855,0.0045839222208658,0.00675525,0.0154246722208658,0.0040855,0.7710723888346354,2593.790192672716,8.908940994282974,109.03122009892267,1.0
Llama2-13B,8,2,4,32,32,1152,0.0040855,0.0045839222208658,0.00730525,0.0159746722208658,0.0040855,0.7930723888346353,2521.8378904085425,8.912995269226176,109.0808379540592,1.0
Llama2-13B,8,2,4,32,32,1280,0.0040855,0.0045839222208658,0.00785525,0.0165246722208658,0.0040855,0.8150723888346354,2453.7697846194205,8.917049544169384,109.13045580919572,1.0
Llama2-13B,8,2,4,32,32,1408,0.0040855,0.0045839222208658,0.00840525,0.0170746722208658,0.0040855,0.8370723888346353,2389.279621066444,8.92110381911259,109.18007366433228,1.0
Llama2-13B,8,2,4,32,32,1536,0.0040855,0.0045839222208658,0.00895525,0.0176246722208658,0.0040855,0.8590723888346353,2328.0925169915854,8.925158094055796,109.22969151946882,1.0
Llama2-13B,8,2,4,32,32,1664,0.0040855,0.0045839222208658,0.00950525,0.0181746722208658,0.0040855,0.8810723888346353,2269.961044455533,8.929212368999004,109.27930937460536,1.0
Llama2-13B,8,2,4,32,32,1792,0.0040855,0.0045839222208658,0.01005525,0.0187246722208658,0.0040855,0.9030723888346354,2214.661886164949,8.933266643942211,109.3289272297419,1.0
Llama2-13B,8,2,4,32,32,1920,0.0040855,0.0045839222208658,0.0106052499999999,0.0192746722208658,0.0040855,0.9250723888346352,2161.9929684848885,8.937320918885415,109.3785450848784,1.0
Llama2-13B,8,2,4,32,32,2048,0.0040855,0.0045839222208658,0.01115525,0.0198246722208658,0.0040855,0.9470723888346352,2111.770994043004,8.941375193828621,109.42816294001496,1.0
Llama2-13B,8,2,4,32,32,2176,0.0040855,0.0045839222208658,0.0117052499999999,0.0203746722208658,0.0040855,0.9690723888346354,2063.829310424492,8.945429468771827,109.4777807951515,1.0
Llama2-13B,8,2,4,32,32,2304,0.0040855,0.0045839222208658,0.01225525,0.0209246722208658,0.0040855,0.9910723888346354,2018.016062733545,8.949483743715037,109.52739865028802,1.0
Llama2-13B,8,2,4,32,32,2432,0.0040855,0.0045839222208658,0.0128052499999999,0.0214746722208658,0.0040855,1.0130723888346351,1974.1925868699807,8.953538018658241,109.57701650542457,1.0
Llama2-13B,8,2,4,32,32,2560,0.0040855,0.0045839222208658,0.01335525,0.0220246722208658,0.0040855,1.0350723888346351,1932.2320077069733,8.957592293601449,109.62663436056113,1.0
Llama2-13B,8,2,4,32,32,2688,0.0040855,0.0045839222208658,0.01390525,0.0225746722208658,0.0040855,1.0570723888346354,1892.018012318807,8.961646568544653,109.67625221569764,1.0
Llama2-13B,8,2,4,32,32,2816,0.0040855,0.0045839222208658,0.01445525,0.0231246722208658,0.0040855,1.0790723888346354,1853.443773276358,8.965700843487861,109.72587007083418,1.0
Llama2-13B,8,2,4,32,32,2944,0.0040855,0.0045839222208658,0.01500525,0.0236746722208658,0.0040855,1.1010723888346352,1816.4110010212687,8.969755118431067,109.77548792597072,1.0
Llama2-13B,8,2,4,32,32,3072,0.0040855,0.0045839222208658,0.01555525,0.0242246722208658,0.0040855,1.1230723888346352,1780.8291076190694,8.973809393374275,109.82510578110724,1.0
Llama2-13B,8,2,4,32,32,3200,0.0040855,0.0045839222208658,0.01610525,0.0247746722208658,0.0040855,1.1450723888346352,1746.6144669119503,8.977863668317479,109.8747236362438,1.0
Llama2-13B,8,2,4,32,32,3328,0.0040855,0.0045839222208658,0.01665525,0.0253246722208658,0.0040855,1.1670723888346353,1713.6897583508712,8.981917943260685,109.92434149138032,1.0
Llama2-13B,8,2,4,32,32,3456,0.0040855,0.0045839222208658,0.01720525,0.0258746722208658,0.0040855,1.1890723888346353,1681.9833836694536,8.985972218203893,109.97395934651684,1.0
Llama2-13B,8,2,4,32,32,3584,0.0040855,0.0045839222208658,0.01775525,0.0264246722208658,0.0040855,1.2110723888346353,1651.4289471371046,8.9900264931471,110.0235772016534,1.0
Llama2-13B,8,2,4,32,32,3712,0.0040855,0.0045839222208658,0.01830525,0.0269746722208658,0.0040855,1.233072388834635,1621.9647914508737,8.994080768090305,110.07319505678991,1.0
Llama2-13B,8,2,4,32,32,3840,0.0040855,0.0045839222208658,0.01885525,0.0275246722208658,0.0040855,1.2550723888346351,1593.5335824390556,8.998135043033512,110.12281291192647,1.0
Llama2-13B,8,2,4,32,32,3968,0.0040855,0.0045839222208658,0.01940525,0.0280746722208658,0.0040855,1.2770723888346354,1566.0819366904143,9.00218931797672,110.17243076706302,1.0
Llama2-13B,8,2,4,32,32,4096,0.0040855,0.0045839222208658,0.01995525,0.0286246722208658,0.0040855,1.2990723888346354,1539.5600870203614,9.006243592919924,110.22204862219954,1.0
Llama2-13B,8,4,2,32,32,128,0.0040855,0.0042163602447509,0.00290525,0.0112071102447509,0.0040855,0.6023699097900391,6640.4379352119895,4.440280534840263,108.68389511296692,1.0
Llama2-13B,8,4,2,32,32,256,0.0040855,0.0042163602447509,0.00345525,0.0117571102447509,0.0040855,0.6243699097900391,6406.458634986278,4.442307672311867,108.73351296810344,1.0
Llama2-13B,8,4,2,32,32,384,0.0040855,0.0042163602447509,0.00400525,0.0123071102447509,0.0040855,0.6463699097900392,6188.406884997668,4.444334809783468,108.78313082324,1.0
Llama2-13B,8,4,2,32,32,512,0.0040855,0.0042163602447509,0.00455525,0.0128571102447509,0.0040855,0.6683699097900391,5984.709876087263,4.446361947255073,108.83274867837652,1.0
Llama2-13B,8,4,2,32,32,640,0.0040855,0.0042163602447509,0.00510525,0.0134071102447509,0.0040855,0.6903699097900391,5793.995281770772,4.448389084726676,108.88236653351306,1.0
Llama2-13B,8,4,2,32,32,768,0.0040855,0.0042163602447509,0.00565525,0.0139571102447509,0.0040855,0.7123699097900391,5615.060300875065,4.450416222198279,108.93198438864958,1.0
Llama2-13B,8,4,2,32,32,896,0.0040855,0.0042163602447509,0.00620525,0.0145071102447509,0.0040855,0.734369909790039,5446.846264634706,4.452443359669882,108.98160224378611,1.0
Llama2-13B,8,4,2,32,32,1024,0.0040855,0.0042163602447509,0.00675525,0.0150571102447509,0.0040855,0.7563699097900392,5288.417675301706,4.454470497141487,109.03122009892267,1.0
Llama2-13B,8,4,2,32,32,1152,0.0040855,0.0042163602447509,0.00730525,0.0156071102447509,0.0040855,0.7783699097900391,5138.944799496396,4.456497634613088,109.0808379540592,1.0
Llama2-13B,8,4,2,32,32,1280,0.0040855,0.0042163602447509,0.00785525,0.0161571102447509,0.0040855,0.8003699097900391,4997.689132327975,4.458524772084692,109.13045580919572,1.0
Llama2-13B,8,4,2,32,32,1408,0.0040855,0.0042163602447509,0.00840525,0.0167071102447509,0.0040855,0.8223699097900391,4863.99119469394,4.460551909556295,109.18007366433228,1.0
Llama2-13B,8,4,2,32,32,1536,0.0040855,0.0042163602447509,0.00895525,0.0172571102447509,0.0040855,0.844369909790039,4737.260238222652,4.462579047027898,109.22969151946882,1.0
Llama2-13B,8,4,2,32,32,1664,0.0040855,0.0042163602447509,0.00950525,0.0178071102447509,0.0040855,0.8663699097900391,4616.965518769439,4.464606184499502,109.27930937460536,1.0
