Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,8,1,8,32,32,2304,0.0037655,0.006729689432779948,0.018247000000000003,0.028742189432779952,0.0037655,2.453140654622396,407.6407107418497,32.93011191613232,109.31520354578512,1.0
Llama2-70B,8,2,4,32,32,2304,0.0037655,0.006411797993977866,0.018247000000000003,0.028424297993977866,0.0037655,2.427709339518229,823.8218502701371,16.46505595806616,109.31520354578512,1.0
Llama2-70B,8,4,2,32,32,2304,0.0037655,0.005782637854682075,0.018247000000000003,0.02779513785468208,0.0037655,2.3773765283745663,1682.5269166490998,8.23252797903308,109.31520354578512,1.0
Llama2-70B,8,8,1,32,32,2304,0.0037655,0.004573988113403321,0.018247000000000003,0.026586488113403323,0.0037655,2.280684549072266,3507.718769460788,4.11626398951654,109.31520354578512,1.0
Llama2-70B,20,1,20,32,32,2304,0.0037655,0.0148387594386509,0.018247,0.0368512594386509,0.0037655,3.101866255092076,322.3865627211951,82.32527979033077,273.2880088644628,1.0
Llama2-70B,20,2,10,32,32,2304,0.0037655,0.0141149887520926,0.018247,0.0361274887520926,0.0037655,3.043964600167411,657.0378643332464,41.16263989516539,273.2880088644629,1.0
Llama2-70B,20,4,5,32,32,2304,0.0037655,0.0134763675580705,0.018247,0.0354888675580706,0.0037655,2.992874904645648,1336.5075813195722,20.58131994758269,273.2880088644628,1.0
Llama2-70B,20,5,4,32,32,2304,0.0037655,0.0130931948416573,0.018247,0.0351056948416573,0.0037655,2.9622210873325896,1687.9226271737816,16.46505595806616,273.2880088644628,1.0
Llama2-70B,20,10,2,32,32,2304,0.0037655,0.0114753544834681,0.018247,0.0334878544834681,0.0037655,2.8327938586774555,3530.0839026347976,8.23252797903308,273.2880088644628,1.0
Llama2-70B,20,20,1,32,32,2304,0.0037655,0.0083673980058942,0.018247,0.0303798980058942,0.0037655,2.58415734047154,7739.46682222938,4.11626398951654,273.2880088644628,1.0
Llama2-70B,20,80,1,32,8,2304,0.007543,0.0009122856358119,0.072988,0.0814432856358119,0.007543,6.673005850864956,11988.60030815504,1.511451481614856,200.37803017564056,1.0
Llama2-70B,20,80,1,32,8,6400,0.007543,0.0009122856358119,0.185628,0.1940832856358119,0.007543,15.684205850864954,5100.67266144611,1.5373988412513768,203.8179558864348,1.0
Llama2-70B,20,80,1,32,8,14592,0.007543,0.0009122856358119,0.4109079999999999,0.4193632856358119,0.007543,33.706605850864946,2373.422003804252,1.589293560524419,210.69780730802327,1.0
Llama2-70B,20,80,1,32,8,30976,0.007543,0.0009122856358119,0.8614680000000001,0.8699232856358121,0.007543,69.75140585086497,1146.9302879865602,1.6930829990705023,224.45751015120024,1.0
Llama2-70B,32,1,32,32,32,2304,0.0037655,0.0245713464355468,0.018247,0.0465838464355468,0.0037655,3.8804732148437497,257.7005289392948,131.72044766452927,437.2608141831405,1.0
Llama2-70B,32,2,16,32,32,2304,0.0037655,0.0239752999877929,0.018247,0.0459877999877929,0.0037655,3.832789499023437,521.8131599738476,65.86022383226464,437.2608141831405,1.0
Llama2-70B,32,4,8,32,32,2304,0.0037655,0.0227236024475097,0.018247,0.0447361024475097,0.0037655,3.732653695800781,1071.623655979654,32.93011191613232,437.2608141831405,1.0
Llama2-70B,32,8,4,32,32,2304,0.0037655,0.0212930909729003,0.018247,0.0433055909729003,0.0037655,3.618212777832031,2211.036357235314,16.46505595806616,437.2608141831405,1.0
Llama2-70B,32,16,2,32,32,2304,0.0037655,0.0184618703460693,0.018247,0.0404743703460693,0.0037655,3.3917151276855466,4717.377314325968,8.23252797903308,437.2608141831405,1.0
Llama2-70B,32,32,1,32,32,2304,0.0037655,0.0130229465103149,0.018247,0.0350354465103149,0.0037655,2.956601220825195,10823.238445078068,4.11626398951654,437.2608141831405,1.0
Llama2-70B,32,80,1,32,10,2304,0.005935,0.0014614998626708,0.054741,0.0621374998626709,0.005935,5.126934989013673,15603.864720623367,1.750226985119867,294.8992392788319,0.84375
Llama2-70B,32,80,1,32,10,6400,0.005935,0.0014614998626708,0.1392209999999999,0.1466174998626709,0.005935,11.885334989013671,6730.984029810586,1.7852559206291705,300.8013345626235,0.84375
Llama2-70B,32,80,1,32,10,14592,0.005935,0.0014614998626708,0.3081809999999999,0.3155774998626708,0.005935,25.402134989013664,3149.341582296124,1.8553137916477769,312.6055251302068,0.84375
Llama2-70B,32,80,1,32,10,30976,0.005935,0.0014614998626708,0.646101,0.6534974998626709,0.005935,52.43573498901368,1525.6770981995692,1.9954295336849897,336.2139062653732,0.84375
