Model,Device number,Channels per device,Channels per block,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,32,16,4096,40,1,decoding,4.4931812007500005,34919.25736705803,0.4090204793568582,221.63125405410915
Llama2-13B,20,32,16,4096,40,1,end2end,4.774616229428571,39724.41425721144,0.4080069106210566,221.0820431433524
Llama2-13B,20,32,16,4096,40,1,prefill,0.2814350286785714,73360.51248828533,0.4009119294704454,217.23756676805505
Llama2-13B,32,32,16,4096,40,1,decoding,4.5426196773125,34463.32981164705,0.4090204793568582,221.63125405410915
Llama2-13B,32,32,16,4096,40,1,end2end,4.8311173455,39097.46042193158,0.4080069106210566,221.0820431433524
Llama2-13B,32,32,16,4096,40,1,prefill,0.2884976681875,71536.37469392331,0.4009119294704454,217.23756676805505
Llama2-70B,20,32,8,4096,80,1,decoding,22.8225566495,14677.112429686988,0.4652203880853414,228.27300691135505
Llama2-70B,20,32,8,4096,80,1,end2end,23.77605468514286,18373.22534234479,0.4635986781080587,227.47727090680024
Llama2-70B,20,32,8,4096,80,1,prefill,0.9534980356428572,44246.01573094942,0.4522467082670809,221.90711887491707
Llama2-70B,32,32,10,4096,80,1,decoding,17.594076376625004,18845.87409078019,0.5574713285265477,287.1343438200092
Llama2-70B,32,32,10,4096,80,1,end2end,18.377365459,23188.751716901104,0.5552820200572164,286.006706184505
Llama2-70B,32,32,10,4096,80,1,prefill,0.7832890823750001,53588.89509974749,0.5399568607718961,278.1132427359754
Llama2-7B,8,32,8,4096,32,1,decoding,5.4016970791388905,23561.50006539653,0.1672762008830238,87.60209525164909
Llama2-7B,8,32,8,4096,32,1,end2end,5.711994650444444,27288.96230214851,0.1669518588875673,87.4322382233922
Llama2-7B,8,32,8,4096,32,1,prefill,0.3102975713055556,53381.19795941237,0.1646814649193717,86.24323902559405
Llama2-7B,20,32,16,4096,32,1,decoding,3.096440059500001,39982.511549475246,0.2774008401299585,167.7658543271597
Llama2-7B,20,32,16,4096,32,1,end2end,3.3081019194285712,44717.16723268325,0.2767521561390455,167.37354468645026
Llama2-7B,20,32,16,4096,32,1,prefill,0.2116618599285714,77859.75701513927,0.2722113682026543,164.6273772014843
Llama2-7B,32,32,32,4096,32,1,decoding,1.962474744125,61177.308164757575,0.4976501186238277,326.22098893728463
Llama2-7B,32,32,32,4096,32,1,end2end,2.127484919,65971.2278487742,0.4963527506420016,325.370534671912
Llama2-7B,32,32,32,4096,32,1,prefill,0.1650101748749999,99528.66563689052,0.4872711747692192,319.41735481430305
