Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,40,1,32,16,128,0.0018455,0.0006398072596958,0.0058105,0.0082958072596958,0.0018455,0.4836777903878347,82699.68312567378,0.4001517529185943,216.82565858498745,1.0
Llama2-13B,20,40,1,32,16,256,0.0018455,0.0006398072596958,0.0069105,0.0093958072596958,0.0018455,0.5276777903878348,75803.83470488805,0.4006585372864951,217.1002640403659,1.0
Llama2-13B,20,40,1,32,16,384,0.0018455,0.0006398072596958,0.0080105,0.0104958072596958,0.0018455,0.5716777903878348,69969.48398653619,0.4011653216543959,217.37486949574424,1.0
Llama2-13B,20,40,1,32,16,512,0.0018455,0.0006398072596958,0.0091105,0.0115958072596958,0.0018455,0.6156777903878348,64969.04813604328,0.4016721060222966,217.6494749511226,1.0
Llama2-13B,20,40,1,32,16,640,0.0018455,0.0006398072596958,0.0102105,0.0126958072596958,0.0018455,0.6596777903878349,60635.662717223466,0.4021788903901975,217.92408040650105,1.0
Llama2-13B,20,40,1,32,16,768,0.0018455,0.0006398072596958,0.0113105,0.0137958072596958,0.0018455,0.7036777903878347,56844.19850448008,0.4026856747580982,218.1986858618794,1.0
Llama2-13B,20,40,1,32,16,896,0.0018455,0.0006398072596958,0.0124105,0.0148958072596958,0.0018455,0.7476777903878348,53498.981130964494,0.403192459125999,218.4732913172577,1.0
Llama2-13B,20,40,1,32,16,1024,0.0018455,0.0006398072596958,0.0135105,0.0159958072596958,0.0018455,0.7916777903878348,50525.605853366695,0.4036992434938998,218.74789677263607,1.0
Llama2-13B,20,40,1,32,16,1152,0.0018455,0.0006398072596958,0.0146105,0.0170958072596958,0.0018455,0.8356777903878349,47865.33812444166,0.4042060278618007,219.02250222801453,1.0
Llama2-13B,20,40,1,32,16,1280,0.0018455,0.0006398072596958,0.0157105,0.0181958072596958,0.0018455,0.8796777903878349,45471.19460906781,0.4047128122297014,219.2971076833929,1.0
Llama2-13B,20,40,1,32,16,1408,0.0018455,0.0006398072596958,0.0168105,0.0192958072596958,0.0018455,0.9236777903878348,43305.14430059507,0.4052195965976022,219.5717131387713,1.0
Llama2-13B,20,40,1,32,16,1536,0.0018455,0.0006398072596958,0.0179105,0.0203958072596958,0.0018455,0.9676777903878347,41336.07322326622,0.405726380965503,219.8463185941497,1.0
Llama2-13B,20,40,1,32,16,1664,0.0018455,0.0006398072596958,0.0190105,0.0214958072596958,0.0018455,1.011677790387835,39538.28025093413,0.4062331653334039,220.12092404952804,1.0
Llama2-13B,20,40,1,32,16,1792,0.0018455,0.0006398072596958,0.0201105,0.0225958072596958,0.0018455,1.0556777903878347,37890.349085874775,0.4067399497013046,220.3955295049064,1.0
Llama2-13B,20,40,1,32,16,1920,0.0018455,0.0006398072596958,0.0212104999999999,0.0236958072596958,0.0018455,1.0996777903878343,36374.29104200858,0.4072467340692055,220.6701349602848,1.0
Llama2-13B,20,40,1,32,16,2048,0.0018455,0.0006398072596958,0.0223105,0.0247958072596958,0.0018455,1.1436777903878348,34974.88570311007,0.4077535184371063,220.9447404156632,1.0
Llama2-13B,20,40,1,32,16,2176,0.0018455,0.0006398072596958,0.0234104999999999,0.0258958072596958,0.0018455,1.1876777903878346,33679.168141165675,0.4082603028050071,221.21934587104155,1.0
Llama2-13B,20,40,1,32,16,2304,0.0018455,0.0006398072596958,0.0245105,0.0269958072596958,0.0018455,1.2316777903878346,32476.02604525708,0.4087670871729079,221.49395132642,1.0
Llama2-13B,20,40,1,32,16,2432,0.0018455,0.0006398072596958,0.0256104999999999,0.0280958072596958,0.0018455,1.275677790387835,31355.88022414273,0.4092738715408087,221.7685567817984,1.0
Llama2-13B,20,40,1,32,16,2560,0.0018455,0.0006398072596958,0.0267105,0.0291958072596958,0.0018455,1.3196777903878347,30310.42902392452,0.4097806559087095,222.0431622371767,1.0
Llama2-13B,20,40,1,32,16,2688,0.0018455,0.0006398072596958,0.0278105,0.0302958072596958,0.0018455,1.3636777903878348,29332.442224950995,0.4102874402766103,222.3177676925551,1.0
Llama2-13B,20,40,1,32,16,2816,0.0018455,0.0006398072596958,0.0289105,0.0313958072596958,0.0018455,1.4076777903878348,28415.593591896795,0.4107942246445111,222.59237314793344,1.0
