Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,4096,1,20,decoding,4.040074295375001,910.2001347906238,19.819738459378023,203.57167686296253
Llama2-13B,20,4096,1,20,end2end,4.437003766142857,957.825405392004,19.77919570994596,203.15525585400545
Llama2-13B,20,4096,1,20,prefill,0.3969294707678572,1291.202299601664,19.49539646392151,200.2403087913057
Llama2-13B,20,4096,2,10,decoding,4.001011795375,1839.132457663751,9.90986922968901,203.57167686296253
Llama2-13B,20,4096,2,10,end2end,4.392360909,1936.6538677828848,9.88959785497298,203.15525585400545
Llama2-13B,20,4096,2,10,prefill,0.391349113625,2619.30373861682,9.747698231960754,200.2403087913057
Llama2-13B,20,4096,4,5,decoding,3.91678327975,3761.805269919404,4.954934614844506,203.57167686296253
Llama2-13B,20,4096,4,5,end2end,4.296099748285715,3967.223080519537,4.94479892748649,203.15525585400545
Llama2-13B,20,4096,4,5,prefill,0.3793164685357143,5405.14775472047,4.873849115980377,200.2403087913057
Llama2-13B,20,4096,5,4,decoding,3.8948106235,4730.3048241664455,3.9639476918756062,203.57167686296253
Llama2-13B,20,4096,5,4,end2end,4.270988141142857,4990.634072557416,3.955839141989194,203.15525585400545
Llama2-13B,20,4096,5,4,prefill,0.3761775176428572,6812.938811294204,3.899079292784304,200.2403087913057
Llama2-13B,20,4096,10,2,decoding,3.7593125766250006,9822.355916592807,1.9819738459378031,203.57167686296253
Llama2-13B,20,4096,10,2,end2end,4.116133230428572,10390.41836549863,1.977919570994597,203.15525585400545
Llama2-13B,20,4096,10,2,prefill,0.3568206538035714,14366.855507839386,1.949539646392152,200.2403087913057
Llama2-13B,20,4096,20,1,decoding,3.50662702975,21158.68237689236,0.9909869229689016,203.57167686296253
Llama2-13B,20,4096,20,1,end2end,3.8273497482857146,22511.002471051277,0.9889597854972983,203.15525585400545
Llama2-13B,20,4096,20,1,prefill,0.3207227185357143,31977.243130163697,0.974769823196076,200.2403087913057
Llama2-13B,20,4096,40,1,decoding,4.77928116875,32448.56091891972,0.6490011306920282,171.12752292472734
Llama2-13B,20,4096,40,1,end2end,5.101587621428571,36384.23844278261,0.6479875619562266,170.86026683091018
Llama2-13B,20,4096,40,1,prefill,0.3223064526785714,63933.98110982282,0.6408925808056155,168.98947417419004
Llama2-70B,32,4096,1,32,decoding,13.62067021,269.27010855501817,60.11550377237885,320.7871065761946
Llama2-70B,32,4096,1,32,end2end,14.98976344,282.39817329248,59.90792489528668,319.6794284700464
Llama2-70B,32,4096,1,32,prefill,1.36909323,374.29462645471256,58.45487275564151,311.9256817270092
Llama2-70B,32,4096,2,16,decoding,13.4497717725,545.7151259178765,30.057751886189426,320.7871065761946
Llama2-70B,32,4096,2,16,end2end,14.79445094,572.7763505820984,29.95396244764334,319.6794284700464
Llama2-70B,32,4096,2,16,prefill,1.3446791675,762.204923231652,29.22743637782076,311.9256817270092
Llama2-70B,32,4096,4,8,decoding,13.09088505375,1122.8777736137667,15.028875943094713,320.7871065761946
Llama2-70B,32,4096,4,8,end2end,14.38429469,1180.6369696446734,14.97698122382167,319.6794284700464
Llama2-70B,32,4096,4,8,prefill,1.29340963625,1584.95134186102,14.61371818891038,311.9256817270092
Llama2-70B,32,4096,8,4,decoding,12.68072880375,2322.3493285115337,7.514437971547356,320.7871065761946
Llama2-70B,32,4096,8,4,end2end,13.91554469,2447.1347781700197,7.488490611910835,319.6794284700464
Llama2-70B,32,4096,8,4,prefill,1.2348158862500005,3320.63292577942,7.306859094455189,311.9256817270092
Llama2-70B,32,4096,16,2,decoding,11.868961225625,4981.950766601161,3.757218985773678,320.7871065761946
Llama2-70B,32,4096,16,2,end2end,12.987810315,5275.62300771811,3.7442453059554177,319.6794284700464
Llama2-70B,32,4096,16,2,prefill,1.118849089375,7331.328695536753,3.6534295472275935,311.9256817270092
Llama2-70B,32,4096,32,1,decoding,10.3095129834375,11592.596726919486,1.878609492886839,320.7871065761946
Llama2-70B,32,4096,32,1,end2end,11.2055837525,12433.694019329794,1.8721226529777089,319.6794284700464
Llama2-70B,32,4096,32,1,prefill,0.8960707690624999,18321.375066201967,1.8267147736137967,311.9256817270092
Llama2-70B,32,4096,80,1,decoding,18.441473752625008,17701.31237236382,1.0065553768269977,207.0888544032502
Llama2-70B,32,4096,80,1,end2end,19.345819603,21254.44447369707,1.004366068357666,206.63842574995704
Llama2-70B,32,4096,80,1,prefill,0.904345850375,46126.36918302978,0.989040909072346,203.48542517690484
