Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,1,20,32,32,128,0.002434,0.0094062218148367,0.00290525,0.0147454718148367,0.002434,0.7422528725934711,1347.2497539901017,19.464989401847465,199.92799303458784,1.0
Llama2-13B,20,1,20,32,32,256,0.002434,0.0094062218148367,0.00345525,0.0152954718148367,0.002434,0.7642528725934711,1308.4674403728802,19.485260776563493,200.1362035390664,1.0
Llama2-13B,20,1,20,32,32,384,0.002434,0.0094062218148367,0.00400525,0.0158454718148367,0.002434,0.7862528725934711,1271.8554486185592,19.505532151279528,200.34441404354496,1.0
Llama2-13B,20,1,20,32,32,512,0.002434,0.0094062218148367,0.00455525,0.0163954718148367,0.002434,0.8082528725934711,1237.2365554251144,19.52580352599556,200.55262454802352,1.0
Llama2-13B,20,1,20,32,32,640,0.002434,0.0094062218148367,0.00510525,0.0169454718148367,0.002434,0.8302528725934711,1204.4523217080691,19.54607490071159,200.76083505250207,1.0
Llama2-13B,20,1,20,32,32,768,0.002434,0.0094062218148367,0.00565525,0.0174954718148367,0.002434,0.8522528725934712,1173.3606681276683,19.56634627542762,200.9690455569806,1.0
Llama2-13B,20,1,20,32,32,896,0.002434,0.0094062218148367,0.00620525,0.0180454718148367,0.002434,0.8742528725934711,1143.8338166776623,19.58661765014365,201.1772560614592,1.0
Llama2-13B,20,1,20,32,32,1024,0.002434,0.0094062218148367,0.00675525,0.0185954718148367,0.002434,0.8962528725934712,1115.756535436609,19.60688902485969,201.38546656593772,1.0
Llama2-13B,20,1,20,32,32,1152,0.002434,0.0094062218148367,0.00730525,0.0191454718148367,0.002434,0.9182528725934712,1089.024635638379,19.62716039957572,201.59367707041625,1.0
Llama2-13B,20,1,20,32,32,1280,0.002434,0.0094062218148367,0.00785525,0.0196954718148367,0.002434,0.9402528725934712,1063.5436797355696,19.64743177429175,201.80188757489483,1.0
Llama2-13B,20,1,20,32,32,1408,0.002434,0.0094062218148367,0.00840525,0.0202454718148367,0.002434,0.962252872593471,1039.2278666882985,19.66770314900778,202.01009807937336,1.0
