Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,32,1,32,32,32,2304,0.00162,0.024571346435546874,0.018247000000000003,0.04443834643554688,0.00162,3.7066877148437505,269.7826407105767,45.552663044500235,351.4865975655884,1.0
Llama2-70B,32,2,16,32,32,2304,0.00162,0.023975299987792967,0.018247000000000003,0.043842299987792974,0.00162,3.659003999023438,546.5968336011072,22.776331522250118,351.4865975655884,1.0
Llama2-70B,32,4,8,32,32,2304,0.00162,0.022723602447509764,0.018247000000000003,0.04259060244750977,0.00162,3.5588681958007817,1123.952835544661,11.388165761125059,351.4865975655884,1.0
Llama2-70B,32,8,4,32,32,2304,0.00162,0.02129309097290039,0.018247000000000003,0.041160090972900396,0.00162,3.4444272778320317,2322.592220624645,5.694082880562529,351.4865975655884,1.0
Llama2-70B,32,16,2,32,32,2304,0.00162,0.018461870346069335,0.018247000000000003,0.03832887034606934,0.00162,3.2179296276855474,4972.141050675426,2.8470414402812647,351.4865975655884,1.0
Llama2-70B,32,32,1,32,32,2304,0.00162,0.01302294651031494,0.018247000000000003,0.032889946510314946,0.00162,2.782815720825196,11499.144467428463,1.4235207201406324,351.4865975655884,1.0
Llama2-70B,32,80,1,32,10,2304,0.0019425,0.0014614998626708,0.054741,0.0581449998626709,0.0019425,4.803542489013673,16654.37542875293,0.5569306319882295,286.7081760557166,0.84375
Llama2-70B,32,80,1,32,10,6400,0.0019425,0.0014614998626708,0.1392209999999999,0.1426249998626708,0.0019425,11.56194248901367,6919.252545670175,0.5919595674975326,304.74109008882,0.84375
Llama2-70B,32,80,1,32,10,14592,0.0019425,0.0014614998626708,0.3081809999999999,0.3115849998626708,0.0019425,25.078742489013663,3189.952607673447,0.6620174385161393,340.80691815502666,0.84375
Llama2-70B,32,80,1,32,10,30976,0.0019425,0.0014614998626708,0.646101,0.649504999862671,0.0019425,52.11234248901368,1535.1449614237856,0.8021331805533524,412.9385742874402,0.84375
