Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-13B,20,1,20,32,32,128,0.0016855,0.0094062218148367,0.00290525,0.0139969718148367,0.0016855,0.711564372593471,1405.354228676816,14.479718587885673,214.7688903572483,1.0
Llama2-13B,20,1,20,32,32,256,0.0016855,0.0094062218148367,0.00345525,0.0145469718148367,0.0016855,0.7335643725934711,1363.2068804876146,14.499989962601704,215.06956337291172,1.0
Llama2-13B,20,1,20,32,32,384,0.0016855,0.0094062218148367,0.00400525,0.0150969718148367,0.0016855,0.755564372593471,1323.5139668741988,14.520261337317736,215.3702363885752,1.0
Llama2-13B,20,1,20,32,32,512,0.0016855,0.0094062218148367,0.00455525,0.0156469718148367,0.0016855,0.7775643725934711,1286.067154368997,14.54053271203377,215.67090940423876,1.0
Llama2-13B,20,1,20,32,32,640,0.0016855,0.0094062218148367,0.00510525,0.0161969718148367,0.0016855,0.799564372593471,1250.6810386715892,14.560804086749805,215.9715824199022,1.0
Llama2-13B,20,1,20,32,32,768,0.0016855,0.0094062218148367,0.00565525,0.0167469718148367,0.0016855,0.821564372593471,1217.1900746416898,14.581075461465836,216.27225543556568,1.0
Llama2-13B,20,1,20,32,32,896,0.0016855,0.0094062218148367,0.00620525,0.0172969718148367,0.0016855,0.8435643725934711,1185.4459866833638,14.601346836181866,216.5729284512292,1.0
Llama2-13B,20,1,20,32,32,1024,0.0016855,0.0094062218148367,0.00675525,0.0178469718148367,0.0016855,0.865564372593471,1155.3155740499376,14.621618210897898,216.8736014668927,1.0
Llama2-13B,20,1,20,32,32,1152,0.0016855,0.0094062218148367,0.00730525,0.0183969718148367,0.0016855,0.8875643725934711,1126.6788425474888,14.64188958561393,217.1742744825561,1.0
Llama2-13B,20,1,20,32,32,1280,0.0016855,0.0094062218148367,0.00785525,0.0189469718148367,0.0016855,0.909564372593471,1099.4274073737815,14.66216096032996,217.4749474982196,1.0
Llama2-13B,20,1,20,32,32,1408,0.0016855,0.0094062218148367,0.00840525,0.0194969718148367,0.0016855,0.9315643725934712,1073.4631222703422,14.682432335045991,217.77562051388315,1.0
Llama2-13B,20,1,20,32,32,1536,0.0016855,0.0094062218148367,0.00895525,0.0200469718148367,0.0016855,0.953564372593471,1048.6968984382618,14.702703709762025,218.0762935295466,1.0
Llama2-13B,20,1,20,32,32,1664,0.0016855,0.0094062218148367,0.00950525,0.0205969718148367,0.0016855,0.975564372593471,1025.0476832621189,14.722975084478058,218.37696654521008,1.0
Llama2-13B,20,1,20,32,32,1792,0.0016855,0.0094062218148367,0.01005525,0.0211469718148367,0.0016855,0.997564372593471,1002.4415741714962,14.743246459194088,218.6776395608736,1.0
Llama2-13B,20,1,20,32,32,1920,0.0016855,0.0094062218148367,0.0106052499999999,0.0216969718148367,0.0016855,1.0195643725934709,980.8110472282344,14.763517833910122,218.978312576537,1.0
Llama2-13B,20,1,20,32,32,2048,0.0016855,0.0094062218148367,0.01115525,0.0222469718148367,0.0016855,1.041564372593471,960.0942834767123,14.783789208626152,219.2789855922005,1.0
Llama2-13B,20,1,20,32,32,2176,0.0016855,0.0094062218148367,0.0117052499999999,0.0227969718148367,0.0016855,1.063564372593471,940.2345789014436,14.804060583342183,219.579658607864,1.0
Llama2-13B,20,1,20,32,32,2304,0.0016855,0.0094062218148367,0.01225525,0.0233469718148367,0.0016855,1.085564372593471,921.1798261313116,14.824331958058217,219.88033162352747,1.0
Llama2-13B,20,1,20,32,32,2432,0.0016855,0.0094062218148367,0.0128052499999999,0.0238969718148367,0.0016855,1.107564372593471,902.8820579145224,14.844603332774248,220.18100463919097,1.0
Llama2-13B,20,1,20,32,32,2560,0.0016855,0.0094062218148367,0.01335525,0.0244469718148367,0.0016855,1.129564372593471,885.2970439427085,14.864874707490282,220.48167765485445,1.0
Llama2-13B,20,1,20,32,32,2688,0.0016855,0.0094062218148367,0.01390525,0.0249969718148367,0.0016855,1.1515643725934708,868.38393388975,14.885146082206315,220.7823506705179,1.0
Llama2-13B,20,1,20,32,32,2816,0.0016855,0.0094062218148367,0.01445525,0.0255469718148367,0.0016855,1.173564372593471,852.1049406008216,14.905417456922349,221.08302368618143,1.0
Llama2-13B,20,1,20,32,32,2944,0.0016855,0.0094062218148367,0.01500525,0.0260969718148367,0.0016855,1.1955643725934708,836.4250582599379,14.925688831638375,221.3836967018449,1.0
Llama2-13B,20,1,20,32,32,3072,0.0016855,0.0094062218148367,0.01555525,0.0266469718148367,0.0016855,1.217564372593471,821.3118111118442,14.94596020635441,221.6843697175084,1.0
Llama2-13B,20,1,20,32,32,3200,0.0016855,0.0094062218148367,0.01610525,0.0271969718148367,0.0016855,1.2395643725934709,806.7350289422697,14.96623158107044,221.98504273317187,1.0
Llama2-13B,20,1,20,32,32,3328,0.0016855,0.0094062218148367,0.01665525,0.0277469718148367,0.0016855,1.2615643725934709,792.6666460501275,14.986502955786474,222.28571574883537,1.0
Llama2-13B,20,1,20,32,32,3456,0.0016855,0.0094062218148367,0.01720525,0.0282969718148367,0.0016855,1.2835643725934711,779.0805208931416,15.006774330502504,222.5863887644988,1.0
Llama2-13B,20,1,20,32,32,3584,0.0016855,0.0094062218148367,0.01775525,0.0288469718148367,0.0016855,1.3055643725934711,765.9522739683259,15.02704570521854,222.8870617801623,1.0
Llama2-13B,20,1,20,32,32,3712,0.0016855,0.0094062218148367,0.01830525,0.0293969718148367,0.0016855,1.327564372593471,753.2591418120421,15.047317079934569,223.18773479582575,1.0
Llama2-13B,20,1,20,32,32,3840,0.0016855,0.0094062218148367,0.01885525,0.0299469718148367,0.0016855,1.349564372593471,740.9798452802146,15.067588454650602,223.48840781148928,1.0
Llama2-13B,20,1,20,32,32,3968,0.0016855,0.0094062218148367,0.01940525,0.0304969718148367,0.0016855,1.3715643725934712,729.0944705053213,15.087859829366634,223.7890808271528,1.0
Llama2-13B,20,1,20,32,32,4096,0.0016855,0.0094062218148367,0.01995525,0.0310469718148367,0.0016855,1.393564372593471,717.5843611292715,15.108131204082664,224.08975384281624,1.0
Llama2-13B,20,2,10,32,32,128,0.0016855,0.0091337434387207,0.00290525,0.0137244934387207,0.0016855,0.700665237548828,2854.430179805551,7.239859293942836,214.76889035724835,1.0
Llama2-13B,20,2,10,32,32,256,0.0016855,0.0091337434387207,0.00345525,0.0142744934387207,0.0016855,0.722665237548828,2767.5331482439915,7.249994981300852,215.0695633729118,1.0
Llama2-13B,20,2,10,32,32,384,0.0016855,0.0091337434387207,0.00400525,0.0148244934387207,0.0016855,0.7446652375488281,2685.770597514778,7.260130668658868,215.37023638857528,1.0
Llama2-13B,20,2,10,32,32,512,0.0016855,0.0091337434387207,0.00455525,0.0153744934387207,0.0016855,0.7666652375488281,2608.700514965793,7.270266356016885,215.6709094042388,1.0
