Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-13B,20,4096,1,20,decoding,,,,
Llama2-13B,20,4096,1,20,end2end,,,,
Llama2-13B,20,4096,1,20,prefill,,,,
Llama2-13B,20,4096,2,10,decoding,,,,
Llama2-13B,20,4096,2,10,end2end,,,,
Llama2-13B,20,4096,2,10,prefill,,,,
Llama2-13B,20,4096,4,5,decoding,,,,
Llama2-13B,20,4096,4,5,end2end,,,,
Llama2-13B,20,4096,4,5,prefill,,,,
Llama2-13B,20,4096,5,4,decoding,,,,
Llama2-13B,20,4096,5,4,end2end,,,,
Llama2-13B,20,4096,5,4,prefill,,,,
Llama2-13B,20,4096,10,2,decoding,,,,
Llama2-13B,20,4096,10,2,end2end,,,,
Llama2-13B,20,4096,10,2,prefill,,,,
Llama2-13B,20,4096,20,1,decoding,,,,
Llama2-13B,20,4096,20,1,end2end,,,,
Llama2-13B,20,4096,20,1,prefill,,,,
Llama2-13B,20,4096,40,1,decoding,,,,
Llama2-13B,20,4096,40,1,end2end,,,,
Llama2-13B,20,4096,40,1,prefill,,,,
Llama2-70B,32,4096,1,32,decoding,,,,
Llama2-70B,32,4096,1,32,end2end,,,,
Llama2-70B,32,4096,1,32,prefill,,,,
Llama2-70B,32,4096,2,16,decoding,,,,
Llama2-70B,32,4096,2,16,end2end,,,,
Llama2-70B,32,4096,2,16,prefill,,,,
Llama2-70B,32,4096,4,8,decoding,,,,
Llama2-70B,32,4096,4,8,end2end,,,,
Llama2-70B,32,4096,4,8,prefill,,,,
Llama2-70B,32,4096,8,4,decoding,,,,
Llama2-70B,32,4096,8,4,end2end,,,,
Llama2-70B,32,4096,8,4,prefill,,,,
Llama2-70B,32,4096,16,2,decoding,,,,
Llama2-70B,32,4096,16,2,end2end,,,,
Llama2-70B,32,4096,16,2,prefill,,,,
Llama2-70B,32,4096,32,1,decoding,,,,
Llama2-70B,32,4096,32,1,end2end,,,,
Llama2-70B,32,4096,32,1,prefill,,,,
Llama2-70B,32,4096,80,1,decoding,,,,
Llama2-70B,32,4096,80,1,end2end,,,,
Llama2-70B,32,4096,80,1,prefill,,,,
Llama2-7B,8,4096,1,8,decoding,,,,
Llama2-7B,8,4096,1,8,end2end,,,,
Llama2-7B,8,4096,1,8,prefill,,,,
Llama2-7B,8,4096,2,4,decoding,,,,
Llama2-7B,8,4096,2,4,end2end,,,,
Llama2-7B,8,4096,2,4,prefill,,,,
Llama2-7B,8,4096,4,2,decoding,,,,
Llama2-7B,8,4096,4,2,end2end,,,,
Llama2-7B,8,4096,4,2,prefill,,,,
Llama2-7B,8,4096,8,1,decoding,,,,
Llama2-7B,8,4096,8,1,end2end,,,,
Llama2-7B,8,4096,8,1,prefill,,,,
Llama2-7B,8,4096,32,1,decoding,41.481537079138896,2841.3948875087835,71.42251308017467,233.7620667862776
Llama2-7B,8,4096,32,1,end2end,45.51309903444445,2994.7187348275493,70.2815956697525,239.68602425639085
Llama2-7B,8,4096,32,1,prefill,4.031561955305556,4067.985666058909,62.29517379679734,281.153726547184
