Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-7B,8,32,1,32,8,128,0.2138915,0.00032238887363009985,0.00932,0.2235338888736301,0.237748,7.540832443956163,4243.563325113715,61.517837997140525,287.61235484879256,1.0
Llama2-7B,8,32,1,32,8,256,0.2190755,0.00032238887363009985,0.01108,0.2304778888736301,0.237748,7.7630404439561635,4122.096262542761,62.0360618635784,283.17206562841767,1.0
Llama2-7B,8,32,1,32,8,384,0.2242595,0.00032238887363009985,0.01284,0.23742188887363008,0.237748,7.985248443956163,4007.3894036722186,62.554285730016275,278.9370605482321,1.0
Llama2-7B,8,32,1,32,8,512,0.2294435,0.00032238887363009985,0.0146,0.2443658888736301,0.237748,8.207456443956163,3898.893672906943,63.07250959645415,274.8934251632935,1.0
Llama2-7B,8,32,1,32,8,640,0.2346275,0.00032238887363009985,0.01636,0.2513098888736301,0.237748,8.429664443956163,3796.1178897154223,63.59073346289203,271.02847476485925,1.0
Llama2-7B,8,32,1,32,8,768,0.2398115,0.00032238887363009985,0.01812,0.2582538888736301,0.237748,8.651872443956163,3698.6213339696037,64.1089573293299,267.33062146448304,1.0
Llama2-7B,8,32,1,32,8,896,0.2449955,0.00032238887363009985,0.019880000000000002,0.2651978888736301,0.237748,8.874080443956164,3606.0074282732157,64.62718119576775,263.7892581527732,1.0
Llama2-7B,8,32,1,32,8,1024,0.2501795,0.00032238887363009985,0.02164,0.2721418888736301,0.237748,9.096288443956164,3517.9183462747073,65.14540506220564,260.394656885179,1.0
Llama2-7B,8,32,1,32,8,1152,0.258014,0.00032238887363009985,0.0234,0.2817363888736301,0.237748,9.403312443956164,3403.056124181805,66.16368101928688,256.4344609954765,1.0
Llama2-7B,8,32,1,32,8,1280,0.263198,0.00032238887363009985,0.025160000000000002,0.2886803888736301,0.237748,9.625520443956164,3324.495562221023,66.68190488572475,253.35262762530405,1.0
Llama2-7B,8,32,1,32,8,1408,0.268382,0.00032238887363009985,0.026920000000000003,0.29562438887363013,0.237748,9.847728443956164,3249.4803428134055,67.20012875216264,250.38985010977868,1.0
Llama2-7B,8,32,1,32,8,1536,0.273566,0.00032238887363009985,0.02868,0.3025683888736301,0.237748,10.069936443956163,3177.7757663213415,67.71835261860048,247.5393602223979,1.0
Llama2-7B,8,32,1,32,8,1664,0.27875,0.00032238887363009985,0.030440000000000002,0.30951238887363014,0.237748,10.292144443956165,3109.167401822785,68.23657648503834,244.79489321986858,1.0
Llama2-7B,8,32,1,32,8,1792,0.283934,0.00032238887363009985,0.032200000000000006,0.31645638887363015,0.237748,10.514352443956165,3043.4589453384897,68.75480035147622,242.1506418797193,1.0
Llama2-7B,8,32,1,32,8,1920,0.289118,0.00032238887363009985,0.033960000000000004,0.3234003888736301,0.237748,10.736560443956163,2980.4703440209732,69.2730242179141,239.6012154826545,1.0
Llama2-7B,8,32,1,32,8,2048,0.294302,0.00032238887363009985,0.03572,0.33034438887363016,0.237748,10.958768443956165,2920.0361485553804,69.79124808435196,237.1416031299548,1.0
Llama2-7B,8,32,1,32,8,2176,0.302108,0.00032238887363009985,0.03748,0.3399103888736301,0.237748,11.264880443956164,2840.687050271239,70.78447018391313,234.3018727869275,1.0
Llama2-7B,8,32,1,32,8,2304,0.307292,0.00032238887363009985,0.03924,0.3468543888736301,0.237748,11.487088443956164,2785.7363644515626,71.302694050351,232.03563402350522,1.0
Llama2-7B,8,32,1,32,8,2432,0.312476,0.00032238887363009985,0.040999999999999995,0.3537983888736301,0.237748,11.709296443956163,2732.871283356826,71.82091791678886,229.84458939819007,1.0
Llama2-7B,8,32,1,32,8,2560,0.31766,0.00032238887363009985,0.04275999999999999,0.3607423888736301,0.237748,11.931504443956163,2681.9752823550616,72.33914178322675,227.7250575559615,1.0
Llama2-7B,8,32,1,32,8,2688,0.322844,0.00032238887363009985,0.044520000000000004,0.36768638887363014,0.237748,12.153712443956165,2632.9403585579366,72.8573656496646,225.67359359215158,1.0
Llama2-7B,8,32,1,32,8,2816,0.328028,0.00032238887363009985,0.04628,0.3746303888736301,0.237748,12.375920443956163,2585.666265786909,73.37558951610245,223.6869703686955,1.0
Llama2-7B,8,32,1,32,8,2944,0.333212,0.00032238887363009985,0.04804,0.38157438887363015,0.237748,12.598128443956165,2540.059830502181,73.8938133825403,221.76216157443403,1.0
Llama2-7B,8,32,1,32,8,3072,0.338396,0.00032238887363009985,0.0498,0.3885183888736301,0.237748,12.820336443956164,2496.034338871475,74.4120372489782,219.89632634244555,1.0
Llama2-7B,8,32,1,32,8,3200,0.346202,0.00032238887363009985,0.051559999999999995,0.3980843888736301,0.237748,13.126448443956164,2437.82620536127,75.40525934853933,217.80711650579522,1.0
Llama2-7B,8,32,1,32,8,3328,0.351386,0.00032238887363009985,0.05331999999999999,0.4050283888736301,0.237748,13.348656443956163,2397.2450062184766,75.92348321497721,216.06860607701276,1.0
Llama2-7B,8,32,1,32,8,3456,0.35657,0.00032238887363009985,0.055080000000000004,0.41197238887363014,0.237748,13.570864443956165,2357.9927522046187,76.4417070814151,214.38064638476328,1.0
Llama2-7B,8,32,1,32,8,3584,0.361754,0.00032238887363009985,0.05684,0.41891638887363014,0.237748,13.793072443956165,2320.0052149382955,76.95993094785294,212.74106422555911,1.0
Llama2-7B,8,32,1,32,8,3712,0.366938,0.00032238887363009985,0.0586,0.4258603888736301,0.237748,14.015280443956163,2283.2222393237535,77.47815481429083,211.14780920561728,1.0
