Model,Device number,Pipeline parallelism,Tensor parallelism,Channels per device,Channels per block,Sequence length,PIM latency,CXL latency,Acc latency,TransformerBlock latency,Embedding latency,Token latency (ms),Throughput (tokens/s),Token energy (mJ),Total power (W),Device utilization
Llama2-70B,8,1,8,32,32,2304,0.0985645,0.006729689432779948,0.016519000000000002,0.12181318943277995,0.0192475,9.914302654622396,100.86438096922176,900.9556873845598,114.25965831822813,1.0
Llama2-70B,8,2,4,32,32,2304,0.1252105,0.006411797993977866,0.016519000000000002,0.14814129799397788,0.0339355,12.035239339518231,166.178664468509,801.7359400422514,160.07761730091556,1.0
Llama2-70B,8,4,2,32,32,2304,0.1754465,0.005782637854682075,0.016519000000000002,0.1977481378546821,0.0633115,16.033162528374568,249.4829072505833,754.8573115874387,215.12464243727814,1.0
Llama2-70B,8,8,1,32,32,2304,0.2779865,0.004573988113403321,0.016519000000000002,0.29907948811340335,0.1213595,24.197718549072267,330.6096805686963,744.8707049291787,267.9521145556273,1.0
Llama2-70B,8,80,1,32,3,2304,2.658588,0.0004647777472601,0.16519,2.8242427777472603,1.2585155,227.3479377197808,351.8835525950735,676.1630399542275,254.3316376791844,1.0
Llama2-70B,8,80,1,32,3,6400,3.555892,0.0004647777472601,0.4467899999999999,4.0031467777472605,1.2585155,321.6602577197808,248.70961854943613,765.5818309163027,215.29951722839243,1.0
Llama2-70B,8,80,1,32,3,14592,5.343884,0.0004647777472601,1.00999,6.354338777747261,1.2585155,509.7556177197808,156.93794677114678,943.0524351496472,176.47322343629602,1.0
Llama2-70B,8,80,1,32,3,30976,8.926484,0.0004647777472601,2.1363900000000005,11.06333877774726,1.2585155,886.4756177197809,90.24500888786812,1299.5088002159423,145.57902083462454,1.0
Llama2-70B,20,1,20,32,32,2304,0.0859545,0.0148387594386509,0.016519,0.1173122594386509,0.0119035,9.546884255092078,104.74621596743714,1304.0464987859505,189.64197610159297,1.0
Llama2-70B,20,2,10,32,32,2304,0.0966825,0.0141149887520926,0.016519,0.1273164887520926,0.0183235,10.353642600167412,193.16873077767443,1043.6455664992618,269.8641342795391,1.0
Llama2-70B,20,4,5,32,32,2304,0.1181385,0.0134763675580705,0.016519,0.1481338675580706,0.0311635,12.031872904645647,332.45032022035014,913.4451100279176,386.59925004461616,1.0
Llama2-70B,20,5,4,32,32,2304,0.1252105,0.0130931948416573,0.016519,0.1548226948416573,0.0339355,12.56975108733259,397.78035103963566,801.7359400422514,400.1940432522888,1.0
Llama2-70B,20,10,2,32,32,2304,0.1754465,0.0114753544834681,0.016519,0.2034408544834682,0.0633115,16.488579858677458,606.4803691833589,754.8573115874387,537.8116060931956,1.0
Llama2-70B,20,20,1,32,32,2304,0.2779865,0.0083673980058942,0.016519,0.3028728980058943,0.1213595,24.501191340471543,816.286837732809,744.8707049291787,669.8802863890681,1.0
Llama2-70B,20,80,1,32,8,2304,1.0001835,0.0009122856358119,0.066076,1.0671717856358118,0.4731,85.99684285086495,930.266709194608,675.8767799414838,675.7527793064812,1.0
Llama2-70B,20,80,1,32,8,6400,1.3430795,0.0009122856358119,0.1787159999999999,1.522707785635812,0.4731,122.43972285086495,653.3827269230449,761.4467839840247,566.9409621575081,1.0
Llama2-70B,20,80,1,32,8,14592,2.0288715,0.0009122856358119,0.4039959999999999,2.433779785635812,0.4731,195.3254828508649,409.57277479806186,932.5867920691068,459.657889653981,1.0
Llama2-70B,20,80,1,32,8,30976,3.4004555,0.0009122856358119,0.8545560000000001,4.255923785635812,0.4731,341.0970028508649,234.5373876972404,1274.8668082392712,374.9105989592486,1.0
Llama2-70B,32,1,32,32,32,2304,0.0840725,0.0245713464355468,0.016519,0.1251628464355468,0.0100555,10.17308321484375,98.29861595360588,1839.8581684573965,273.5523162237052,1.0
Llama2-70B,32,2,16,32,32,2304,0.0878365,0.0239752999877929,0.016519,0.1283307999877929,0.0119035,10.428367499023436,191.78457224367,1157.7749628377835,329.52558527428334,1.0
Llama2-70B,32,4,8,32,32,2304,0.0985645,0.0227236024475097,0.016519,0.1378071024475097,0.0192475,11.193815695800785,357.3401696707003,900.9556873845598,457.0386332729125,1.0
Llama2-70B,32,8,4,32,32,2304,0.1252105,0.0212930909729003,0.016519,0.1630225909729004,0.0339355,13.225742777832032,604.8809608946109,801.7359400422514,640.3104692036623,1.0
Llama2-70B,32,16,2,32,32,2304,0.1754465,0.0184618703460693,0.016519,0.2104273703460693,0.0633115,17.047501127685546,938.5539780968614,754.8573115874387,860.4985697491126,1.0
Llama2-70B,32,32,1,32,32,2304,0.2779865,0.0130229465103149,0.016519,0.3075284465103149,0.1213595,24.8736352208252,1286.5027454132771,744.8707049291787,1071.8084582225092,1.0
Llama2-70B,32,80,1,32,10,2304,0.810186,0.0014614998626708,0.049557,0.8612044998626708,0.382388,69.42874798901367,1152.2604442277875,698.3823362161739,862.002473772904,0.84375
Llama2-70B,32,80,1,32,10,6400,1.080774,0.0014614998626708,0.134037,1.2162724998626708,0.382388,97.83418798901369,817.7100627541738,790.7764692331407,731.6760666273805,0.84375
Llama2-70B,32,80,1,32,10,14592,1.628566,0.0014614998626708,0.3029969999999999,1.9330244998626709,0.382388,155.17434798901368,515.549129329443,979.3609028254126,601.3639624217947,0.84375
Llama2-70B,32,80,1,32,10,30976,2.717534,0.0014614998626708,0.6409170000000001,3.359912499862671,0.382388,269.3253879890136,297.0384656171492,1352.580271752017,497.7234035533749,0.84375
